	 SFG_L 	 SFG_R 	 SFG_PFC_L 	 SFG_PFC_R 	 SFG_pole_L 	 SFG_pole_R 	 MFG_L 	 MFG_R 	 MFG_DPFC_L 	 MFG_DPFC_R 	 IFG_opercularis_L 	 IFG_opercularis_R 	 IFG_orbitalis_L 	 IFG_orbitalis_R 	 IFG_triangularis_L 	 IFG_triangularis_R 	 LFOG_L 	 LFOG_R 	 MFOG_L 	 MFOG_R 	 RG_L 	 RG_R 	 PoCG_L 	 PoCG_R 	 PrCG_L 	 PrCG_R 	 SPG_L 	 SPG_R 	 SMG_L 	 SMG_R 	 AG_L 	 AG_R 	 PrCu_L 	 PrCu_R 	 STG_L 	 STG_R 	 STG_L_pole 	 STG_R_pole 	 MTG_L 	 MTG_R 	 MTG_L_pole 	 MTG_R_pole 	 ITG_L 	 ITG_R 	 FuG_L 	 FuG_R 	 SOG_L 	 SOG_R 	 MOG_L 	 MOG_R 	 IOG_L 	 IOG_R 	 Cu_L 	 Cu_R 	 LG_L 	 LG_R 	 rostral_ACC_L 	 rostral_ACC_R 	 subcallosal_ACC_L 	 subcallosal_ACC_R 	 subgenual_ACC_L 	 subgenual_ACC_R 	 dorsal_ACC_L 	 dorsal_ACC_R 	 PCC_L 	 PCC_R 	 Insula_L 	 Insula_R 	 CerebellumGM_L 	 CerebellumGM_R 	 Caud_L 	 Caud_R 	 Put_L 	 Put_R 	 GP_L 	 GP_R 	 Thalamus_L 	 Thalamus_R 	
 SFG_L 	Inf	0.3696	0.16327	0.018403	-0.13658	0.029769	0.24567	0.15137	0.042706	0.18596	0.49246	0.060083	0.19697	0.083913	0.22054	0.039698	0.049417	0.022715	-0.041454	0.1484	-0.045438	-0.051092	0.045099	0.0017817	0.18248	0.10086	0.024138	0.13517	0.17102	-0.01194	0.16916	-0.088624	0.090883	-0.010858	0.29236	0.021913	0.22292	-0.12458	0.33944	0.16304	0.05536	0.037316	0.31016	0.12911	-0.067437	-0.039482	0.032732	0.029034	0.054661	0.07312	-0.0087251	0.088167	0.12782	0.002142	0.15438	0.2654	-0.070882	-0.0083233	0.25012	0.02967	-0.031707	-0.0019794	0.064198	0.096891	-0.03606	-0.1118	0.021667	0.0038507	0.15727	0.46507	0.20571	0.16302	0.16004	0.099863	0.088035	-0.21478	0.42069	0.37638	
 SFG_R 	0.3696	Inf	-0.10428	0.36209	-0.16572	0.23649	-0.18341	0.3159	0.078361	0.36616	-0.02956	0.20394	-0.23267	0.14634	-0.25163	0.045854	-0.069155	0.17921	-0.16397	-0.028335	-0.11065	-0.12018	0.20363	0.10441	0.07762	0.11454	0.27147	0.38805	0.38158	0.36308	-0.018806	0.33637	0.35943	0.53002	0.48354	0.37067	0.25968	0.11627	-0.043214	0.55614	0.0093133	0.25397	0.26063	0.36417	0.11855	0.17267	0.3495	0.25018	-0.031163	0.20101	0.2587	0.32007	0.41497	0.34894	0.2641	0.29731	-0.098678	0.16783	0.15107	-0.073698	-0.031263	-0.039046	0.35235	0.45467	0.052673	0.25818	0.26061	0.26298	0.61755	0.50553	0.27968	-0.046736	0.29653	0.38601	0.093541	0.090376	0.32315	0.30687	
 SFG_PFC_L 	0.16327	-0.10428	Inf	0.67742	0.26628	0.22882	0.85284	0.15014	0.091361	-0.12159	0.28047	0.095843	0.43971	0.3592	0.29975	0.11149	-0.13509	-0.15732	0.052581	-0.11746	-0.067809	0.0051655	-0.12651	-0.17299	0.11772	-0.17793	-0.19833	-0.36992	-0.51043	-0.37513	0.6941	0.15887	0.2473	-0.040406	0.2654	0.24524	0.055818	0.01638	0.79934	0.20606	0.3317	0.2685	-0.028749	-0.17773	-0.1328	-0.20723	-0.36622	-0.25956	0.087092	-0.10517	-0.31682	-0.20687	-0.090544	-0.035518	-0.020998	-0.029879	0.41178	-0.16264	-0.067017	-0.1666	-0.16927	-0.26956	-0.36252	-0.23259	0.49911	0.10345	-0.28074	-0.50167	0.098419	0.19401	0.14074	0.43985	0.26492	0.15471	0.016621	-0.025777	0.16257	0.039808	
 SFG_PFC_R 	0.018403	0.36209	0.67742	Inf	0.3102	0.52554	0.3713	0.53987	0.17923	0.27121	-0.063389	0.41484	-0.097179	0.58317	-0.11904	0.19927	-0.028272	0.13862	-0.042877	0.037054	0.031477	0.10915	-0.11894	-0.31277	-0.096698	-0.23948	-0.083988	-0.070225	-0.20371	-0.15862	0.50265	0.76006	0.48027	0.39787	0.22349	0.17683	0.16103	0.10045	0.46222	0.61637	0.29494	0.4346	0.1416	0.19701	0.069484	0.12134	-0.090303	-0.033848	0.15527	0.10721	0.0045094	0.092544	0.07139	0.15604	0.11654	0.035074	0.22794	-0.0044719	0.068884	-0.1652	-0.024353	-0.1834	-0.24624	-0.059802	0.5621	0.44958	-0.29473	-0.26341	0.43638	0.32093	0.23894	0.13645	0.13876	0.26018	0.041409	-0.026345	0.1453	0.077669	
 SFG_pole_L 	-0.13658	-0.16572	0.26628	0.3102	Inf	0.89906	0.25846	0.13614	0.71383	0.46666	-0.24599	-0.024016	-0.017759	0.32057	-0.23109	0.032381	0.54839	0.49778	0.59169	0.48545	0.71495	0.8993	-0.0062987	-0.18792	-0.21936	-0.27331	0.174	-0.0047758	-0.10752	-0.11102	0.28028	0.29558	0.39838	0.26952	-0.13673	-0.14914	0.18869	0.13751	0.017389	-0.039144	0.20056	0.21921	0.238	0.042464	0.096643	0.27494	0.12037	0.19768	0.2803	0.1255	0.090996	-0.020824	0.19641	0.30622	0.27218	0.075212	0.50668	0.31333	0.25486	0.16541	0.27215	0.24245	0.060257	-0.00025776	0.50359	0.43068	-0.238	-0.097639	0.1411	0.15823	0.17491	0.11087	-0.038976	-0.27722	0.17524	-0.053487	-0.094196	0.0013233	
 SFG_pole_R 	0.029769	0.23649	0.22882	0.52554	0.89906	Inf	0.12314	0.2644	0.50544	0.82143	-0.24694	0.019036	-0.099152	0.37198	-0.27351	0.014904	0.47193	0.64301	0.44046	0.53125	0.63609	0.76966	-0.017303	-0.23301	-0.24324	-0.2082	0.06143	0.019036	0.055152	0.011678	0.18436	0.48703	0.35184	0.39982	0.19591	0.047552	0.34267	0.080422	0.068338	0.23368	0.040338	0.18455	0.3519	0.080358	0.10921	0.23904	0.10928	0.142	0.20474	0.12599	0.098749	0.070731	0.40627	0.42167	0.3306	0.18225	0.35727	0.34406	0.29592	0.22287	0.25485	0.12092	0.15425	0.10212	0.40384	0.51536	-0.024465	-0.060467	0.52896	0.44726	0.28287	-0.0069564	0.04815	-0.12688	0.23472	-0.17098	0.14999	-0.044978	
 MFG_L 	0.24567	-0.18341	0.85284	0.3713	0.25846	0.12314	Inf	0.33844	0.16276	-0.14087	0.42603	0.13641	0.2644	0.38859	0.37317	0.11246	-0.062559	-0.026738	0.17304	-0.022179	-0.023826	0.075273	-0.018684	-0.040664	0.2617	0.052908	-0.055912	-0.21312	-0.47127	-0.2997	0.66533	0.21317	0.29071	0.037717	0.12829	0.10711	0.12252	0.0053384	0.97125	0.25643	0.51107	0.24976	0.028861	-0.023445	0.034865	-0.044423	-0.19808	-0.11084	0.16839	0.054774	-0.24317	-0.1711	-0.10134	0.0046438	0.11729	0.15443	0.1864	-0.30939	-0.0099107	-0.17102	-0.15535	-0.16158	-0.38744	-0.33913	0.52923	0.21302	-0.41809	-0.45555	0.061732	0.1832	0.025748	0.18324	0.024072	-0.014503	-0.12276	-0.092444	0.081835	-0.027447	
 MFG_R 	0.15137	0.3159	0.15014	0.53987	0.13614	0.2644	0.33844	Inf	0.1734	0.34829	0.21961	0.49722	-0.25045	0.46191	-0.1339	0.17096	0.12517	0.24574	0.063871	0.15953	0.0674	0.11148	-0.010315	-0.1667	-0.0017847	0.16912	0.16002	0.39081	0.16072	0.12966	0.35279	0.90073	0.27628	0.40705	0.063221	0.03555	0.29054	0.21289	0.1437	0.50389	0.37054	0.3409	0.22791	0.46938	0.34391	0.46271	0.24483	0.25351	0.38688	0.52588	0.30358	0.36055	0.1619	0.23875	0.23318	0.21942	-0.028554	0.038261	0.099971	-0.1639	0.023813	-0.022918	-0.026478	-0.048239	0.35211	0.35602	-0.13044	0.020195	0.48109	0.36979	0.11566	-0.26531	0.068602	0.13592	0.010659	-0.040929	0.16932	0.21773	
 MFG_DPFC_L 	0.042706	0.078361	0.091361	0.17923	0.71383	0.50544	0.16276	0.1734	Inf	0.63364	-0.071319	0.16486	0.061291	0.26446	-0.26195	0.046385	0.51332	0.40622	0.38965	0.23746	0.50146	0.53386	-0.060485	-0.15499	-0.21958	-0.18731	0.3451	0.15471	0.2159	0.088733	0.31093	0.25553	0.34295	0.3544	-0.20151	-0.16147	0.30882	0.0866	-0.14019	-0.091905	0.16171	0.15881	0.33557	0.15027	0.072105	0.22461	0.36123	0.29556	0.0088786	0.03424	0.11018	0.0014858	0.32716	0.45035	0.26077	0.2157	0.5867	0.43797	0.32449	0.13142	0.34186	0.25728	0.33303	0.30908	0.18825	0.34013	0.058454	0.22781	0.11943	0.24006	0.30958	0.020735	0.11554	-0.19332	0.3258	0.081269	0.051438	0.172	
 MFG_DPFC_R 	0.18596	0.36616	-0.12159	0.27121	0.46666	0.82143	-0.14087	0.34829	0.63364	Inf	-0.085108	0.32424	-0.16763	0.38519	-0.36846	0.1823	0.71574	0.98677	0.38871	0.74519	0.82082	0.72454	-0.18054	-0.39187	-0.55446	-0.21486	0.11341	0.19215	0.41649	0.10986	0.075416	0.39645	0.13738	0.27402	-0.01188	-0.13228	0.58856	0.13344	-0.17148	0.045043	-0.050155	0.005125	0.44608	0.15001	0.011191	0.22905	0.31184	0.20754	0.042516	0.070553	0.19793	0.13367	0.33129	0.3074	0.16582	0.1189	0.23324	0.50961	0.31679	0.34463	0.47748	0.20772	0.30641	0.17014	0.00010068	0.15459	0.072836	0.15824	0.32428	0.30698	0.37451	-0.14177	-0.10881	-0.35011	0.31213	-0.32439	0.15033	0.04715	
