	 SFG_L 	 SFG_R 	 SFG_PFC_L 	 SFG_PFC_R 	 SFG_pole_L 	 SFG_pole_R 	 MFG_L 	 MFG_R 	 MFG_DPFC_L 	 MFG_DPFC_R 	 IFG_opercularis_L 	 IFG_opercularis_R 	 IFG_orbitalis_L 	 IFG_orbitalis_R 	 IFG_triangularis_L 	 IFG_triangularis_R 	 LFOG_L 	 LFOG_R 	 MFOG_L 	 MFOG_R 	 RG_L 	 RG_R 	 PoCG_L 	 PoCG_R 	 PrCG_L 	 PrCG_R 	 SPG_L 	 SPG_R 	 SMG_L 	 SMG_R 	 AG_L 	 AG_R 	 PrCu_L 	 PrCu_R 	 STG_L 	 STG_R 	 STG_L_pole 	 STG_R_pole 	 MTG_L 	 MTG_R 	 MTG_L_pole 	 MTG_R_pole 	 ITG_L 	 ITG_R 	 FuG_L 	 FuG_R 	 SOG_L 	 SOG_R 	 MOG_L 	 MOG_R 	 IOG_L 	 IOG_R 	 Cu_L 	 Cu_R 	 LG_L 	 LG_R 	 rostral_ACC_L 	 rostral_ACC_R 	 subcallosal_ACC_L 	 subcallosal_ACC_R 	 subgenual_ACC_L 	 subgenual_ACC_R 	 dorsal_ACC_L 	 dorsal_ACC_R 	 PCC_L 	 PCC_R 	 Insula_L 	 Insula_R 	 CerebellumGM_L 	 CerebellumGM_R 	 Caud_L 	 Caud_R 	 Put_L 	 Put_R 	 GP_L 	 GP_R 	 Thalamus_L 	 Thalamus_R 	
 SFG_L 	1	0.84574	0.74367	0.6904	0.62887	0.5127	0.73153	0.62853	0.58503	0.51166	0.66067	0.56425	0.51862	0.54531	0.62295	0.57856	0.35794	0.58338	0.39881	0.3293	0.50934	0.45868	0.78117	0.7525	0.8457	0.735	0.61421	0.68245	0.56175	0.53264	0.52985	0.37482	0.46388	0.48235	0.60887	0.69712	0.64747	0.70531	0.79032	0.71363	0.68602	0.51988	0.74842	0.72686	0.78237	0.74661	0.71217	0.66966	0.75876	0.77391	0.7426	0.76727	0.69561	0.7588	0.74766	0.78481	0.44233	0.56577	-0.038252	0.21383	0.15772	0.44844	0.54346	0.4818	0.55278	0.58259	0.59413	0.54866	0.68396	0.63929	0.22594	-0.062931	-0.098585	0.081883	0.53271	0.50897	0.37445	0.18458	
 SFG_R 	0.84574	1	0.67971	0.67703	0.61938	0.52524	0.70049	0.70264	0.6154	0.60754	0.58317	0.58703	0.45898	0.41234	0.55184	0.61743	0.1155	0.51145	0.26289	0.2794	0.43688	0.33561	0.79748	0.77526	0.85255	0.86326	0.69212	0.78458	0.52971	0.60297	0.50431	0.45762	0.5188	0.57098	0.5194	0.63482	0.52209	0.60397	0.75635	0.67671	0.61867	0.48211	0.72278	0.74582	0.73989	0.71081	0.74001	0.70786	0.76967	0.79961	0.76856	0.75277	0.72016	0.73822	0.73747	0.76084	0.3048	0.43848	-0.18883	0.22031	0.059868	0.46704	0.48166	0.50976	0.48576	0.58041	0.48341	0.49744	0.58876	0.52177	0.23217	-0.11527	-0.19372	0.15267	0.4807	0.48459	0.21334	0.069672	
 SFG_PFC_L 	0.74367	0.67971	1	0.85862	0.83861	0.80411	0.7225	0.61874	0.47183	0.38719	0.36898	0.36761	0.40209	0.51648	0.5062	0.44417	0.24018	0.34689	0.28912	0.026723	0.42188	0.39035	0.53053	0.55795	0.57649	0.53711	0.45563	0.55522	0.2921	0.38354	0.69688	0.47338	0.57183	0.52184	0.31641	0.47499	0.47868	0.42682	0.76558	0.63459	0.57938	0.48635	0.55705	0.54482	0.5699	0.52635	0.65567	0.62696	0.65199	0.66923	0.646	0.67105	0.52053	0.60299	0.63205	0.63368	0.47416	0.46238	-0.092764	0.11799	0.092387	0.35936	0.28814	0.33343	0.72662	0.69057	0.32785	0.27499	0.68189	0.6268	0.26885	0.23449	-0.094777	0.10128	0.47283	0.30395	0.2443	-0.0039879	
 SFG_PFC_R 	0.6904	0.67703	0.85862	1	0.7905	0.73894	0.6966	0.74028	0.51803	0.51275	0.38838	0.46829	0.33936	0.59336	0.43988	0.45299	0.13053	0.41466	0.19431	0.050824	0.34549	0.40991	0.43538	0.43654	0.57675	0.51895	0.35227	0.47249	0.11664	0.22953	0.61421	0.5779	0.45182	0.43131	0.26029	0.42295	0.38904	0.38221	0.69809	0.70036	0.46516	0.40002	0.53773	0.54541	0.56519	0.5286	0.59004	0.57639	0.60578	0.61621	0.5851	0.54627	0.49235	0.60663	0.62286	0.62115	0.36116	0.51983	-0.095548	0.11004	0.07099	0.32656	0.18415	0.24978	0.60647	0.67395	0.2821	0.25043	0.52565	0.44193	0.3455	0.12448	-0.14317	0.075049	0.38802	0.27824	0.19086	-0.041292	
 SFG_pole_L 	0.62887	0.61938	0.83861	0.7905	1	0.75451	0.76179	0.71638	0.5281	0.47554	0.30147	0.24946	0.18899	0.37575	0.45104	0.25132	0.13919	0.36702	0.26162	0.082682	0.35749	0.37319	0.41958	0.4417	0.49765	0.49122	0.44706	0.52014	0.11393	0.17141	0.71982	0.654	0.66412	0.59974	0.15293	0.31884	0.31073	0.31681	0.66701	0.66214	0.45591	0.35272	0.50802	0.48386	0.47426	0.45469	0.52875	0.53922	0.58069	0.6153	0.54483	0.57429	0.42479	0.52327	0.49913	0.52723	0.29363	0.37581	-0.068398	0.19886	-0.043705	0.23798	0.17666	0.18754	0.78778	0.76846	0.21014	0.12805	0.54715	0.48181	0.15171	0.1079	-0.097154	0.15065	0.38996	0.19289	0.064356	-0.13415	
 SFG_pole_R 	0.5127	0.52524	0.80411	0.73894	0.75451	1	0.52552	0.5195	0.23123	0.27611	0.087991	0.18001	0.26317	0.40048	0.26019	0.3677	0.12448	0.12654	0.11836	-0.059438	0.39017	0.33811	0.37689	0.39869	0.39522	0.35293	0.2029	0.37746	0.039996	0.22886	0.51847	0.41864	0.55445	0.56725	0.21505	0.37843	0.42295	0.37277	0.66361	0.61452	0.53174	0.55029	0.38713	0.45929	0.42924	0.4231	0.60443	0.61215	0.51782	0.53982	0.50873	0.55267	0.49558	0.54215	0.56434	0.55556	0.28532	0.20137	-0.1375	0.13106	0.036831	0.34061	0.11882	0.10037	0.69761	0.72596	0.17043	0.10765	0.49002	0.40684	0.26785	0.1432	-0.21208	-0.011405	0.349	0.18285	0.054105	-0.12375	
 MFG_L 	0.73153	0.70049	0.7225	0.6966	0.76179	0.52552	1	0.82545	0.60514	0.54934	0.58143	0.43282	0.29378	0.49642	0.63074	0.23851	0.22233	0.46176	0.26477	0.15935	0.26548	0.26997	0.52368	0.57783	0.65008	0.66815	0.67107	0.69832	0.28812	0.32582	0.80668	0.64125	0.61846	0.51588	0.27576	0.39121	0.42549	0.40906	0.69379	0.65071	0.54617	0.40804	0.6399	0.5755	0.58038	0.52899	0.59306	0.54957	0.64	0.65496	0.5988	0.55604	0.455	0.54633	0.57602	0.59403	0.2068	0.32511	0.029812	0.21615	0.11028	0.2575	0.18935	0.3008	0.67536	0.66093	0.26738	0.17966	0.59809	0.55207	0.17396	0.070209	-0.16058	0.032184	0.41587	0.2859	0.25521	0.076605	
 MFG_R 	0.62853	0.70264	0.61874	0.74028	0.71638	0.5195	0.82545	1	0.59686	0.68164	0.51754	0.50303	0.19788	0.50737	0.48364	0.29784	0.14636	0.49559	0.1942	0.21045	0.24835	0.32749	0.46367	0.49139	0.62142	0.6121	0.55583	0.66411	0.19643	0.26522	0.66434	0.71147	0.50674	0.50394	0.14911	0.26705	0.37474	0.39707	0.61875	0.70286	0.52184	0.44792	0.64648	0.6643	0.54926	0.5419	0.55457	0.51519	0.55707	0.57479	0.52425	0.48164	0.40448	0.49816	0.53234	0.54926	0.078082	0.29901	0.020744	0.30367	0.10215	0.2571	0.10973	0.21153	0.51194	0.59154	0.18772	0.10395	0.53857	0.45442	0.16637	-0.12566	-0.20113	-0.013583	0.32002	0.26798	0.12955	-0.050367	
 MFG_DPFC_L 	0.58503	0.6154	0.47183	0.51803	0.5281	0.23123	0.60514	0.59686	1	0.85721	0.68485	0.59277	0.39367	0.37376	0.66693	0.52069	0.1556	0.56783	0.27007	0.3107	0.28841	0.27173	0.5857	0.59113	0.64544	0.65326	0.62482	0.5523	0.60782	0.59265	0.50697	0.55403	0.35799	0.38774	0.47574	0.52985	0.32449	0.3244	0.5307	0.4771	0.42161	0.20688	0.67799	0.5248	0.55098	0.45166	0.51438	0.38445	0.5625	0.58294	0.56058	0.5235	0.42925	0.44983	0.44482	0.48612	0.44973	0.61484	-0.070464	0.22143	-0.018234	0.19063	0.45999	0.51846	0.35577	0.45597	0.46125	0.50858	0.58562	0.52771	0.32337	0.053111	0.028328	0.29583	0.67419	0.52116	0.37394	0.19229	
 MFG_DPFC_R 	0.51166	0.60754	0.38719	0.51275	0.47554	0.27611	0.54934	0.68164	0.85721	1	0.58115	0.57276	0.39569	0.43564	0.53335	0.47988	0.11261	0.61776	0.19513	0.33218	0.29035	0.28056	0.53855	0.52665	0.57774	0.58773	0.52605	0.53569	0.44881	0.53969	0.42423	0.61149	0.31536	0.43042	0.38182	0.43313	0.32314	0.34132	0.5143	0.5528	0.44117	0.26786	0.66228	0.5895	0.49038	0.45359	0.49424	0.41431	0.49328	0.52152	0.47973	0.45841	0.40049	0.44092	0.4181	0.47304	0.27696	0.48206	-0.10335	0.23676	-0.03435	0.19454	0.33963	0.3821	0.24452	0.4258	0.32419	0.37571	0.516	0.43171	0.32235	-0.013189	-0.17374	0.14707	0.53977	0.42327	0.26378	0.096005	
