	 SFG_L 	 SFG_R 	 SFG_PFC_L 	 SFG_PFC_R 	 SFG_pole_L 	 SFG_pole_R 	 MFG_L 	 MFG_R 	 MFG_DPFC_L 	 MFG_DPFC_R 	 IFG_opercularis_L 	 IFG_opercularis_R 	 IFG_orbitalis_L 	 IFG_orbitalis_R 	 IFG_triangularis_L 	 IFG_triangularis_R 	 LFOG_L 	 LFOG_R 	 MFOG_L 	 MFOG_R 	 RG_L 	 RG_R 	 PoCG_L 	 PoCG_R 	 PrCG_L 	 PrCG_R 	 SPG_L 	 SPG_R 	 SMG_L 	 SMG_R 	 AG_L 	 AG_R 	 PrCu_L 	 PrCu_R 	 STG_L 	 STG_R 	 STG_L_pole 	 STG_R_pole 	 MTG_L 	 MTG_R 	 MTG_L_pole 	 MTG_R_pole 	 ITG_L 	 ITG_R 	 FuG_L 	 FuG_R 	 SOG_L 	 SOG_R 	 MOG_L 	 MOG_R 	 IOG_L 	 IOG_R 	 Cu_L 	 Cu_R 	 LG_L 	 LG_R 	 rostral_ACC_L 	 rostral_ACC_R 	 subcallosal_ACC_L 	 subcallosal_ACC_R 	 subgenual_ACC_L 	 subgenual_ACC_R 	 dorsal_ACC_L 	 dorsal_ACC_R 	 PCC_L 	 PCC_R 	 Insula_L 	 Insula_R 	 CerebellumGM_L 	 CerebellumGM_R 	 Caud_L 	 Caud_R 	 Put_L 	 Put_R 	 GP_L 	 GP_R 	 Thalamus_L 	 Thalamus_R 	
 SFG_L 	Inf	0.72289	0.5357	0.23419	0.36382	0.34205	0.70055	0.36812	0.59921	0.29788	0.21332	-0.051921	0.59183	0.21587	0.1188	0.0050893	0.31205	-0.018744	-0.017482	-0.0989	0.017825	0.026087	0.1823	0.04602	0.32609	0.1042	0.19236	0.10223	0.095827	0.016872	0.31565	0.25566	0.132	0.14607	0.094638	0.047252	-0.11471	-0.058867	0.38523	0.23964	0.22833	0.11868	0.38064	0.058598	0.085201	-0.01505	0.034583	-0.037925	0.064813	0.094546	0.046157	0.22524	0.005685	-0.0092555	-0.022562	0.011087	0.20155	0.0582	0.13269	0.12496	-0.016045	-0.10654	0.2352	0.24683	0.056539	0.036373	-0.050243	-0.2243	0.28866	0.43478	0.071039	0.22479	0.050218	-0.11452	-0.0015125	-0.27347	0.012683	-0.17523	
 SFG_R 	0.72289	Inf	0.02434	0.16416	0.34687	0.58679	0.17656	0.45372	0.53621	0.73698	-0.030883	0.1382	0.20062	0.50176	-0.11858	0.022922	0.12954	0.011287	0.047403	0.079599	0.19942	0.053631	0.017703	-0.0045065	0.16266	0.32449	0.066084	0.14169	0.095784	0.26337	-0.11023	0.22938	0.067483	0.23192	0.28589	0.25369	-0.086086	0.20566	0.011855	0.4092	0.065012	-0.077447	0.15149	-0.0082734	-0.3123	-0.1678	-0.065213	-0.011753	-0.045803	-0.04695	0.14585	-0.0049637	-0.11332	-0.1491	-0.2145	-0.16837	0.23346	0.13401	0.13658	0.38355	0.21072	-0.084206	0.4956	0.76317	-0.24446	-0.12445	0.27071	0.23216	0.48167	0.22924	0.072945	0.14911	0.14275	0.071878	0.14069	-0.14136	0.031872	0.081358	
 SFG_PFC_L 	0.5357	0.02434	Inf	0.65476	0.55699	0.33776	0.712	0.1248	0.30179	-0.078285	0.17325	-0.41347	0.47719	-0.22136	0.10987	-0.33118	0.22938	0.011343	0.058029	-0.20093	0.023961	0.16876	-0.14128	-0.27489	-0.10276	-0.41239	-0.17716	-0.25676	-0.28271	-0.50468	0.52603	0.054153	0.28532	0.15319	-0.4349	-0.33948	-0.19579	-0.29107	0.45174	-0.11791	0.38644	0.30835	0.21948	0.12859	0.092693	-0.10646	-0.17619	-0.25956	0.053193	0.0049079	-0.20414	-0.091843	-0.15497	-0.18822	-0.16909	-0.17821	0.33282	0.13153	0.018433	-0.19434	-0.0064188	0.18261	-0.13793	-0.12346	0.76097	0.4678	-0.45826	-0.47358	-0.079914	0.32652	0.073894	0.28617	-0.070303	0.016735	-0.063764	-0.20123	0.12967	0.0011959	
 SFG_PFC_R 	0.23419	0.16416	0.65476	Inf	0.32175	0.56627	0.39361	0.66488	0.25364	0.24757	0.12621	0.11992	0.10589	0.21053	0.020271	0.033028	0.047498	0.42819	-0.13626	0.14468	0.01969	0.26909	-0.20269	-0.17569	-0.16128	-0.070323	-0.12989	-0.093539	-0.15142	-0.10986	0.39042	0.47089	0.23974	0.44098	-0.28581	-0.23943	-0.23739	-0.049432	0.071136	0.20115	0.23062	0.48436	0.091746	0.36274	-0.028089	-0.059201	-0.21274	-0.29333	0.2277	0.045044	-0.13672	-0.27416	-0.087071	-0.16067	-0.17963	-0.18034	0.12818	0.30863	-0.13214	0.0085924	0.0086795	0.17219	-0.0066697	0.01189	0.47146	0.63183	-0.35531	-0.21939	0.24867	0.31138	0.18385	0.26378	0.057502	0.035564	-0.009592	-0.04105	0.24769	0.38172	
 SFG_pole_L 	0.36382	0.34687	0.55699	0.32175	Inf	0.67765	0.45033	0.1848	0.42848	0.31246	0.18793	-0.12931	0.54164	0.17487	0.028843	-0.088826	0.20915	0.051162	0.11698	0.049692	0.18414	0.11681	-0.095017	-0.055676	0.021398	-0.076987	-0.11025	-0.14022	0.079373	0.0069275	0.30886	0.19228	0.22747	0.13617	-0.010551	-0.11456	-0.088037	-0.015406	0.41183	0.061452	0.30208	0.09143	0.27849	0.23674	-0.023554	-0.22498	-0.22103	-0.25086	-0.14547	-0.12694	-0.22271	-0.15009	-0.20537	-0.21757	-0.25747	-0.23437	0.54383	0.31735	0.23702	0.022468	0.081691	0.066883	0.11049	0.24543	0.25561	0.092263	-0.09903	-0.16079	0.23255	0.37457	0.16712	0.32089	-0.025837	-0.17026	0.15473	-0.07942	0.14329	0.12623	
 SFG_pole_R 	0.34205	0.58679	0.33776	0.56627	0.67765	Inf	0.23487	0.28778	0.40245	0.58991	-0.10932	-0.10896	0.1872	0.33787	-0.14278	-0.27871	0.02528	0.04926	0.02179	0.040076	0.19558	0.11179	-0.25164	-0.28147	-0.19361	-0.10553	-0.32193	-0.31346	-0.22805	-0.090327	0.016374	0.12054	0.1682	0.18045	-0.027729	-0.090841	-0.088106	0.062352	0.28522	0.34534	0.43519	0.11269	-0.15129	-0.012076	-0.41884	-0.33959	-0.3153	-0.30522	-0.30185	-0.35059	-0.080196	-0.22746	-0.29094	-0.33862	-0.37073	-0.34034	0.49061	0.3727	0.18191	0.20576	0.066923	-0.021421	0.16312	0.30187	0.17906	0.12967	-0.035164	0.04666	0.10682	0.059679	0.27117	0.46194	0.11822	0.093236	0.077437	0.080359	0.053923	0.20343	
 MFG_L 	0.70055	0.17656	0.712	0.39361	0.45033	0.23487	Inf	0.56361	0.69687	0.20375	0.77792	0.0092599	0.67257	0.24024	0.48445	0.10696	0.27998	0.25051	-0.15591	-0.092885	-0.20743	-0.093954	-0.17646	-0.18271	0.066872	-0.15835	-0.044232	-0.20563	0.16196	-0.10982	1.0085	0.49578	0.36435	0.23413	-0.28974	-0.27735	-0.23877	-0.2756	0.424	0.015587	0.2442	0.21044	0.45648	0.36327	0.163	-0.035962	-0.25163	-0.39703	0.16395	0.028499	-0.29207	-0.12857	-0.053083	-0.16936	-0.17674	-0.19789	0.089385	-0.023058	0.10331	-0.10322	-0.10531	-0.077119	-0.11612	-0.038492	0.35452	0.23404	-0.32565	-0.50192	0.16398	0.63243	0.16757	0.38614	0.099243	-0.25701	0.025315	-0.25117	0.18226	0.017829	
 MFG_R 	0.36812	0.45372	0.1248	0.66488	0.1848	0.28778	0.56361	Inf	0.58741	0.70558	0.41529	0.52856	0.13315	0.52442	0.16935	0.50612	0.086553	0.63044	-0.26031	0.2383	-0.0078883	0.12859	-0.20041	-0.088621	0.0056016	0.26841	0.0039092	0.062753	0.26976	0.3082	0.57734	1.3803	0.33127	0.68256	-0.059427	-0.049373	-0.26068	0.024306	-0.10434	0.28181	-0.040156	0.27202	0.3942	0.63587	0.068156	0.072411	-0.19672	-0.24714	0.34417	0.12555	-0.049357	-0.23489	-0.01628	-0.15732	-0.19693	-0.2024	-0.0064654	0.19877	-0.014234	0.11368	0.015824	0.028958	0.13593	0.23744	0.11681	0.41698	-0.15034	-0.12386	0.63854	0.54012	0.10544	0.15322	-0.021066	-0.21639	0.070082	-0.19647	0.21524	0.29332	
 MFG_DPFC_L 	0.59921	0.53621	0.30179	0.25364	0.42848	0.40245	0.69687	0.58741	Inf	0.75703	0.44466	0.19493	0.40712	0.45203	0.19363	0.21543	0.45561	0.28009	-0.056272	0.19643	0.16551	0.075072	-0.36228	-0.27107	-0.12033	-0.067353	-0.12704	-0.21634	0.17854	0.049068	0.44654	0.38186	0.34694	0.27653	-0.13243	-0.053248	-0.26155	0.026434	-0.0091847	0.20951	-0.098385	-0.017447	0.20717	0.30293	-0.084536	-0.16256	-0.32576	-0.35537	0.029955	-0.18125	-0.087512	-0.25021	-0.21237	-0.37419	-0.39911	-0.38661	0.25928	0.028377	0.25554	0.1794	0.031226	0.034919	0.18434	0.31874	0.066048	0.09678	0.015228	-0.12763	0.38246	0.60783	0.072497	0.36754	0.26193	-0.12262	0.35804	-0.25764	0.10881	0.06566	
 MFG_DPFC_R 	0.29788	0.73698	-0.078285	0.24757	0.31246	0.58991	0.20375	0.70558	0.75703	Inf	0.12413	0.39596	0.11124	0.78855	-0.021584	0.28754	0.24769	0.32227	-0.1145	0.36239	0.23718	0.11424	-0.38007	-0.21208	-0.23628	0.13883	-0.26953	-0.12483	0.17778	0.36752	0.12796	0.58763	0.1441	0.40755	0.1275	0.15901	-0.14758	0.31164	-0.16336	0.34082	-0.055499	-0.046719	0.13609	0.16204	-0.25429	-0.1732	-0.31086	-0.21707	-0.079172	-0.17575	0.12333	-0.24107	-0.22363	-0.33405	-0.40647	-0.37608	0.29256	0.24377	0.1743	0.25358	0.023795	-0.10211	0.26811	0.52825	-0.16214	0.021057	0.095674	0.14633	0.61498	0.35821	0.1865	0.22924	0.1211	-0.06267	0.32807	-0.21845	-0.011443	0.21007	
