	 SFG_L 	 SFG_R 	 SFG_PFC_L 	 SFG_PFC_R 	 SFG_pole_L 	 SFG_pole_R 	 MFG_L 	 MFG_R 	 MFG_DPFC_L 	 MFG_DPFC_R 	 IFG_opercularis_L 	 IFG_opercularis_R 	 IFG_orbitalis_L 	 IFG_orbitalis_R 	 IFG_triangularis_L 	 IFG_triangularis_R 	 LFOG_L 	 LFOG_R 	 MFOG_L 	 MFOG_R 	 RG_L 	 RG_R 	 PoCG_L 	 PoCG_R 	 PrCG_L 	 PrCG_R 	 SPG_L 	 SPG_R 	 SMG_L 	 SMG_R 	 AG_L 	 AG_R 	 PrCu_L 	 PrCu_R 	 STG_L 	 STG_R 	 STG_L_pole 	 STG_R_pole 	 MTG_L 	 MTG_R 	 MTG_L_pole 	 MTG_R_pole 	 ITG_L 	 ITG_R 	 FuG_L 	 FuG_R 	 SOG_L 	 SOG_R 	 MOG_L 	 MOG_R 	 IOG_L 	 IOG_R 	 Cu_L 	 Cu_R 	 LG_L 	 LG_R 	 rostral_ACC_L 	 rostral_ACC_R 	 subcallosal_ACC_L 	 subcallosal_ACC_R 	 subgenual_ACC_L 	 subgenual_ACC_R 	 dorsal_ACC_L 	 dorsal_ACC_R 	 PCC_L 	 PCC_R 	 Insula_L 	 Insula_R 	 CerebellumGM_L 	 CerebellumGM_R 	 Caud_L 	 Caud_R 	 Put_L 	 Put_R 	 GP_L 	 GP_R 	 Thalamus_L 	 Thalamus_R 	
 SFG_L 	Inf	0.82292	0.69754	0.50232	0.35688	0.10336	0.78408	0.47498	0.51218	0.42669	0.56208	0.1748	0.37936	0.23289	0.40963	0.23279	0.36393	0.10722	0.042161	0.065222	0.075879	0.17542	0.24597	0.39038	0.48931	0.64383	0.58863	0.57509	0.052988	-0.013422	0.43869	0.27771	0.23999	0.35427	-0.026161	-0.048222	-0.010291	-0.0012691	0.35829	0.23364	0.4042	0.31704	0.47411	0.11899	0.30965	0.2705	0.19341	0.081558	0.35268	0.3826	0.28968	0.25468	0.21962	0.14246	0.29296	0.099552	-0.063625	0.053945	-0.16319	-0.2252	-0.22843	0.11707	0.17901	0.3034	0.17543	0.0019473	0.3012	-0.024822	0.49759	0.62301	-0.24628	0.093726	0.043723	-0.13099	-0.13167	-0.26341	-0.26273	-0.36909	
 SFG_R 	0.82292	Inf	0.67191	0.75543	0.25432	0.4788	0.56453	0.90092	0.7783	0.76706	0.52152	0.43702	0.25922	0.45442	0.3599	0.52954	0.33502	0.36014	0.19914	0.19896	0.20471	0.29937	0.16199	0.32805	0.32846	0.73993	0.44934	0.57298	0.34214	0.30001	0.36661	0.52636	0.11869	0.38343	0.14037	0.19762	0.1598	0.23176	0.27136	0.50197	0.19401	0.34522	0.33706	0.49535	0.23614	0.36749	0.097182	-0.053476	0.45872	0.54733	0.60741	0.65409	-0.085824	-0.084432	0.054411	-0.069567	0.21986	0.22852	-0.20048	-0.1732	-0.34235	-0.071452	0.18537	0.25086	0.0022699	0.015824	0.32635	0.061536	0.61565	0.63371	-0.042331	0.0042297	0.040516	0.031173	-0.20029	-0.34553	-0.52556	-0.4407	
 SFG_PFC_L 	0.69754	0.67191	Inf	0.97869	0.71318	0.5907	0.76346	0.59885	0.47259	0.68792	0.60218	0.48092	0.52708	0.50487	0.36343	0.26213	0.44778	0.31919	0.28561	0.40339	0.54891	0.63647	-0.10828	0.26246	0.14817	0.53767	0.3419	0.46576	-0.055297	0.0048382	0.56877	0.50722	0.11521	0.39024	0.082952	0.034238	0.088879	0.20516	0.45207	0.4321	0.4618	0.53026	0.40608	0.17915	0.47509	0.51422	0.34551	0.36533	0.50824	0.48282	0.53067	0.54337	0.29467	0.30592	0.38454	0.29358	0.20104	0.32113	0.11678	-0.13941	-0.14226	0.11764	0.15048	0.26491	0.44793	0.34158	0.24314	0.021568	0.7407	0.71495	0.0011031	0.17275	0.15565	-0.11297	0.10806	-0.3322	-0.47566	-0.50947	
 SFG_PFC_R 	0.50232	0.75543	0.97869	Inf	0.44761	0.98704	0.82465	0.86451	0.5038	1.0516	0.68825	0.6942	0.46087	0.50103	0.28781	0.45146	0.39953	0.53198	0.32577	0.2825	0.43808	0.72226	-0.20892	0.18536	-0.050347	0.46438	0.34707	0.59865	0.018444	-0.036957	0.6666	0.71587	0.040177	0.38476	0.0041843	-0.081549	0.17587	0.19269	0.52019	0.58489	0.51205	0.65779	0.5753	0.41853	0.53872	0.55522	0.30779	0.27402	0.53059	0.55632	0.59324	0.55629	0.2021	0.19861	0.28048	0.30739	0.10712	0.26893	0.08401	-0.12863	-0.19481	-0.033506	-0.098565	0.092293	0.35862	0.34096	0.081821	-0.1436	0.59723	0.58884	-0.16191	-0.019539	0.04135	-0.17557	0.19227	-0.36089	-0.63746	-0.46027	
 SFG_pole_L 	0.35688	0.25432	0.71318	0.44761	Inf	0.62047	0.59056	0.34917	0.25431	0.45571	0.58119	0.46371	0.55618	0.27628	0.30585	0.19392	0.36138	0.28551	0.50877	0.59746	0.3888	0.70171	-0.15834	0.17396	0.0067404	0.30017	0.15242	0.36056	-0.15588	-0.17992	0.75168	0.66101	0.048056	0.25456	0.18949	0.082116	0.13549	0.26085	0.64341	0.39021	0.43717	0.5667	0.59489	0.23416	0.64581	0.5588	0.43669	0.48643	0.54065	0.4626	0.39402	0.38423	0.5688	0.62173	0.6052	0.57839	0.030276	0.14309	-0.088401	-0.31156	0.22253	0.013098	0.054261	0.01944	0.59868	0.43137	0.10619	-0.11805	0.64982	0.57321	0.21643	0.39684	0.3106	0.02811	0.26268	-0.45393	-0.28261	-0.32993	
 SFG_pole_R 	0.10336	0.4788	0.5907	0.98704	0.62047	Inf	0.44806	0.5731	0.28736	0.75064	0.39475	0.61677	0.32016	0.32852	0.053833	0.27547	0.29522	0.61109	0.57021	0.50019	0.60922	0.7827	-0.21829	0.12353	-0.13325	0.29587	0.1007	0.40227	-0.0051712	0.028949	0.4423	0.66913	0.011167	0.30722	0.2017	0.1285	0.22296	0.32199	0.3751	0.53004	0.24423	0.51554	0.30479	0.42052	0.45607	0.52887	0.32685	0.35184	0.44406	0.43077	0.57617	0.53198	0.25901	0.29809	0.26087	0.37567	0.30865	0.34973	0.0088897	-0.2862	0.071781	-0.13515	0.0044786	0.010551	0.32491	0.41532	0.013645	-0.12826	0.44508	0.37648	0.14001	0.084165	0.062534	-0.065313	0.22454	-0.41761	-0.47875	-0.19159	
 MFG_L 	0.78408	0.56453	0.76346	0.82465	0.59056	0.44806	Inf	0.79868	0.60441	0.76678	0.92436	0.69499	0.5858	0.28058	0.4888	0.41359	0.35128	0.24545	0.44708	0.29186	0.16689	0.54767	-0.20766	0.065524	-0.0060538	0.40017	0.44012	0.52245	-0.086426	-0.19071	0.97928	0.74081	0.3176	0.55336	-0.083612	-0.19727	0.024935	0.049731	0.6162	0.46807	0.48558	0.57141	0.71872	0.17204	0.563	0.48026	0.30832	0.29776	0.64747	0.6516	0.44733	0.42691	0.30392	0.29266	0.36416	0.28748	-0.21	-0.016567	-0.081559	-0.39009	-0.10361	0.068839	-0.059385	0.043908	0.50105	0.30205	0.032915	-0.3147	0.60462	0.66626	-0.14018	0.15296	0.17511	-0.1647	0.22101	-0.43611	-0.34403	-0.44357	
 MFG_R 	0.47498	0.90092	0.59885	0.86451	0.34917	0.5731	0.79868	Inf	0.74386	1.07	0.51004	0.87841	0.23755	0.2694	0.37183	0.55663	0.23868	0.36461	0.32669	0.2754	0.17426	0.43465	-0.12278	0.1474	-0.012017	0.51102	0.59039	0.68049	0.19041	0.066485	0.64583	1.0909	0.16461	0.52583	-0.094091	-0.075436	0.023923	0.098412	0.30555	0.47761	0.16064	0.40446	0.50259	0.43987	0.41201	0.48998	0.26999	0.12282	0.85207	0.88573	0.65064	0.65869	0.037297	0.086182	0.22233	0.14539	0.071863	0.13528	-0.051523	-0.18038	-0.2617	-0.029684	-0.035599	0.039139	0.1015	0.15505	0.10637	-0.20337	0.61335	0.58406	-0.094497	-0.13534	0.02726	-0.090655	0.029013	-0.48956	-0.45815	-0.48535	
 MFG_DPFC_L 	0.51218	0.7783	0.47259	0.5038	0.25431	0.28736	0.60441	0.74386	Inf	0.93408	0.55099	0.45558	0.22389	0.28361	0.48333	0.65525	0.16962	0.14784	0.27315	0.20308	0.082383	0.20438	0.0011563	0.21661	0.21783	0.47239	0.42078	0.40668	0.3545	0.26274	0.55452	0.53957	0.27767	0.37855	0.12107	0.13953	0.1228	0.12524	0.19651	0.23271	-0.046435	0.073717	0.36439	0.32838	0.077973	0.14091	0.14305	-0.0063569	0.46662	0.48528	0.26495	0.31205	-0.015041	0.015223	0.018524	-0.05752	0.22192	0.35841	-0.17871	-0.10683	-0.27534	-0.058047	0.21758	0.31931	0.046352	-0.068475	0.33264	0.16565	0.5453	0.52695	-0.032034	0.032421	0.25781	0.070303	-0.021556	-0.17459	-0.3686	-0.48837	
 MFG_DPFC_R 	0.42669	0.76706	0.68792	1.0516	0.45571	0.75064	0.76678	1.07	0.93408	Inf	0.50109	0.67659	0.21151	0.27264	0.20728	0.40474	0.10131	0.39419	0.46826	0.42232	0.23922	0.45855	-0.25223	0.097333	-0.054168	0.36781	0.35898	0.53803	0.15295	0.055815	0.70816	0.79392	0.20583	0.45639	-0.017695	-0.028682	0.10229	0.13134	0.25369	0.32922	0.19155	0.4134	0.49764	0.38372	0.34702	0.39506	0.25364	0.17281	0.60934	0.60077	0.44987	0.42383	0.10628	0.15302	0.21036	0.17504	0.19514	0.36749	-0.0056107	-0.16105	-0.030753	-0.069678	0.026967	0.19642	0.17735	0.14937	0.15172	-0.11435	0.55144	0.54273	-0.082486	-0.065363	0.20427	-0.10455	0.13783	-0.36864	-0.44992	-0.46867	
 IFG_opercularis_L 	0.56208	0.52152	0.60218	0.68825	0.58119	0.39475	0.92436	0.51004	0.55099	0.50109	Inf	0.62927	0.86579	0.48681	0.80748	0.70208	0.52486	0.21097	0.29022	0.21832	0.1588	0.54581	-0.083805	0.16979	0.087548	0.47314	0.31595	0.50422	0.17221	-0.049927	0.74854	0.55373	0.074195	0.29043	0.15907	0.051819	0.30528	0.28426	0.92317	0.65023	0.55755	0.60019	0.77056	0.338	0.57878	0.46803	0.23661	0.18687	0.55576	0.60284	0.4346	0.44902	0.23317	0.2425	0.28508	0.25411	-0.17983	-0.030473	-0.053558	-0.19613	-0.21727	-0.0046353	-0.12142	-0.016044	0.45945	0.25255	0.12557	-0.093394	0.57099	0.57831	-0.074394	0.21168	0.15541	-0.0098386	0.21194	-0.36013	-0.39146	-0.4038	
