Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby127a_3_1_ax_MNI.img	Telencephalon_L	604157	7.9760	253.2734	137.6017	48.6079	
kirby127a_3_1_ax_MNI.img	Telencephalon_R	617827	8.7513	243.5860	138.9885	47.6590	
kirby127a_3_1_ax_MNI.img	Diencephalon_L	10947	42.4401	242.3272	178.0461	26.4367	
kirby127a_3_1_ax_MNI.img	Diencephalon_R	11096	41.1013	244.5666	174.3490	26.6402	
kirby127a_3_1_ax_MNI.img	Mesencephalon	11675	82.3482	238.6248	198.1343	22.3440	
kirby127a_3_1_ax_MNI.img	Metencephalon	181274	5.7368	245.9575	135.4012	43.0140	
kirby127a_3_1_ax_MNI.img	Myelencephalon	5547	68.8453	240.1226	188.3379	28.5350	
kirby127a_3_1_ax_MNI.img	CSF	124898	1.1252	208.2963	37.3907	21.9481	



Type1-L2 Statistics

kirby127a_3_1_ax_MNI.img	CerebralCortex_L	315731	7.9760	208.0257	97.6877	23.7435	
kirby127a_3_1_ax_MNI.img	CerebralCortex_R	321955	8.7513	203.2555	99.7077	23.0050	
kirby127a_3_1_ax_MNI.img	CerebralNucli_L	14144	54.9271	231.8190	152.6227	25.7058	
kirby127a_3_1_ax_MNI.img	CerebralNucli_R	14904	46.6090	237.8651	152.2258	25.6202	
kirby127a_3_1_ax_MNI.img	Thalamus_L	7192	90.8543	235.4706	180.3574	20.8074	
kirby127a_3_1_ax_MNI.img	Thalamus_R	7270	69.6876	227.7648	178.1165	21.8670	
kirby127a_3_1_ax_MNI.img	BasalForebrain_L	3755	42.4401	242.3272	173.6192	34.3285	
kirby127a_3_1_ax_MNI.img	BasalForebrain_R	3826	41.1013	244.5666	167.1901	32.7326	
kirby127a_3_1_ax_MNI.img	Mesencephalon_L	5690	85.0379	238.0205	198.1252	21.1612	
kirby127a_3_1_ax_MNI.img	Mesencephalon_R	5985	82.3482	238.6248	198.1429	23.4132	
kirby127a_3_1_ax_MNI.img	Metencephalon_R	90774	11.8719	245.9575	136.5100	42.9781	
kirby127a_3_1_ax_MNI.img	Metencephalon_L	90500	5.7368	234.0421	134.2890	43.0212	
kirby127a_3_1_ax_MNI.img	Myelencephalon_L	2687	71.5077	240.1226	186.1720	30.2639	
kirby127a_3_1_ax_MNI.img	Myelencephalon_R	2860	68.8453	235.6852	190.3729	26.6493	
kirby127a_3_1_ax_MNI.img	WhiteMatter_L	274282	43.8625	253.2734	182.7728	25.2064	
kirby127a_3_1_ax_MNI.img	WhiteMatter_R	280968	34.1432	243.5860	183.2974	24.7529	
kirby127a_3_1_ax_MNI.img	Ventricle	52141	1.1252	208.2963	36.6855	28.6607	
kirby127a_3_1_ax_MNI.img	Sulcus_L	38726	1.4451	113.3397	37.3663	14.9156	
kirby127a_3_1_ax_MNI.img	Sulcus_R	34031	2.5378	99.7612	38.4988	15.9448	



Type1-L3 Statistics

kirby127a_3_1_ax_MNI.img	Frontal_L	112403	15.2933	187.9139	93.7743	23.4730	
kirby127a_3_1_ax_MNI.img	Frontal_R	112405	15.6247	184.1459	97.9189	22.2882	
kirby127a_3_1_ax_MNI.img	Parietal_L	47466	12.7444	182.4627	93.1789	23.5063	
kirby127a_3_1_ax_MNI.img	Parietal_R	54339	8.7513	176.3750	95.9169	24.1482	
kirby127a_3_1_ax_MNI.img	Temporal_L	72223	18.6005	175.5168	99.3686	21.9008	
kirby127a_3_1_ax_MNI.img	Temporal_R	70007	12.1732	182.5781	100.9829	20.8272	
kirby127a_3_1_ax_MNI.img	Limbic_L	34872	19.8556	208.0257	110.4301	22.6765	
kirby127a_3_1_ax_MNI.img	Limbic_R	39910	20.6634	205.7797	108.3922	23.5459	
kirby127a_3_1_ax_MNI.img	Occipital_L	42709	7.9760	180.5943	99.7694	25.3292	
kirby127a_3_1_ax_MNI.img	Occipital_R	39866	8.8203	176.1900	98.6295	25.0417	
kirby127a_3_1_ax_MNI.img	Insula_L	8303	31.5738	206.2368	105.6792	18.7981	
kirby127a_3_1_ax_MNI.img	Insula_R	8116	26.6572	203.2555	112.4611	20.1177	
kirby127a_3_1_ax_MNI.img	BasalGang_L	11899	59.0527	231.8190	157.3453	24.8392	
kirby127a_3_1_ax_MNI.img	BasalGang_R	12216	46.6090	237.8651	156.4688	25.5694	
kirby127a_3_1_ax_MNI.img	Thalamus_L	7192	90.8543	235.4706	180.3574	20.8074	
