	 SFG_L 	 SFG_R 	 SFG_PFC_L 	 SFG_PFC_R 	 SFG_pole_L 	 SFG_pole_R 	 MFG_L 	 MFG_R 	 MFG_DPFC_L 	 MFG_DPFC_R 	 IFG_opercularis_L 	 IFG_opercularis_R 	 IFG_orbitalis_L 	 IFG_orbitalis_R 	 IFG_triangularis_L 	 IFG_triangularis_R 	 LFOG_L 	 LFOG_R 	 MFOG_L 	 MFOG_R 	 RG_L 	 RG_R 	 PoCG_L 	 PoCG_R 	 PrCG_L 	 PrCG_R 	 SPG_L 	 SPG_R 	 SMG_L 	 SMG_R 	 AG_L 	 AG_R 	 PrCu_L 	 PrCu_R 	 STG_L 	 STG_R 	 STG_L_pole 	 STG_R_pole 	 MTG_L 	 MTG_R 	 MTG_L_pole 	 MTG_R_pole 	 ITG_L 	 ITG_R 	 FuG_L 	 FuG_R 	 SOG_L 	 SOG_R 	 MOG_L 	 MOG_R 	 IOG_L 	 IOG_R 	 Cu_L 	 Cu_R 	 LG_L 	 LG_R 	 rostral_ACC_L 	 rostral_ACC_R 	 subcallosal_ACC_L 	 subcallosal_ACC_R 	 subgenual_ACC_L 	 subgenual_ACC_R 	 dorsal_ACC_L 	 dorsal_ACC_R 	 PCC_L 	 PCC_R 	 Insula_L 	 Insula_R 	 CerebellumGM_L 	 CerebellumGM_R 	 Caud_L 	 Caud_R 	 Put_L 	 Put_R 	 GP_L 	 GP_R 	 Thalamus_L 	 Thalamus_R 	
 SFG_L 	1	0.83211	0.64909	0.66292	0.45529	0.58258	0.72369	0.56882	0.68984	0.46472	0.45854	0.27051	0.55337	0.25228	0.48788	0.43374	0.48201	0.4506	0.34897	0.43178	0.48298	0.51635	0.575	0.62039	0.68919	0.68431	0.63624	0.6429	0.53799	0.61742	0.49085	0.41882	0.57393	0.51942	0.40698	0.41519	0.50742	0.248	0.42863	0.34034	0.37421	0.20834	0.55546	0.44654	0.13484	0.13682	0.42668	0.35769	0.45683	0.33751	0.30341	0.34413	0.43717	0.37042	0.44816	0.40608	0.49505	0.37026	0.30018	0.18349	0.18909	0.28756	0.6794	0.60144	0.31236	0.36301	0.4689	0.36744	0.46458	0.4872	0.4941	0.46757	0.39138	0.18805	0.13858	0.33947	0.52547	0.42878	
 SFG_R 	0.83211	1	0.6513	0.72257	0.42245	0.60574	0.70775	0.58568	0.61939	0.54615	0.5293	0.55429	0.63214	0.53905	0.53093	0.66864	0.6662	0.69416	0.39438	0.39955	0.52743	0.56244	0.51798	0.61713	0.59864	0.77403	0.4247	0.55468	0.35757	0.56361	0.44016	0.45506	0.54843	0.51124	0.45902	0.53855	0.49953	0.41915	0.39879	0.42753	0.30807	0.11609	0.35065	0.36221	0.12138	0.10767	0.25614	0.25239	0.33387	0.25436	0.24444	0.32561	0.24777	0.2579	0.25876	0.27694	0.5682	0.47108	0.08001	0.049076	0.24336	0.37775	0.72758	0.72995	0.2604	0.38233	0.47314	0.50341	0.34885	0.33774	0.50375	0.44444	0.40874	0.30116	0.071995	0.40245	0.56049	0.48693	
 SFG_PFC_L 	0.64909	0.6513	1	0.82676	0.82706	0.77518	0.70862	0.30676	0.3042	0.080522	0.33295	0.34546	0.56862	0.28752	0.57512	0.56023	0.50512	0.41682	0.26576	0.20614	0.55309	0.51643	0.27192	0.38895	0.25895	0.48398	0.25445	0.4838	0.082056	0.29617	0.52192	0.38207	0.31504	0.28116	0.15478	0.27369	0.39271	0.22813	0.62942	0.45611	0.49262	0.43721	0.5273	0.44236	0.0692	0.2066	0.2729	0.31375	0.40625	0.31874	0.31099	0.39141	0.38347	0.43586	0.28244	0.37693	0.64543	0.33573	0.19762	0.22984	0.24802	0.10544	0.3158	0.25118	0.57875	0.33559	0.081513	0.075868	0.28071	0.22964	0.28575	0.281	0.34665	0.246	0.020508	0.24761	0.27277	0.22439	
 SFG_PFC_R 	0.66292	0.72257	0.82676	1	0.79669	0.88199	0.59003	0.54669	0.32152	0.30307	0.22485	0.45388	0.44025	0.40134	0.45892	0.58032	0.53016	0.58431	0.35799	0.35419	0.65587	0.6587	0.38621	0.38789	0.34725	0.5232	0.37321	0.49584	0.21303	0.37612	0.4281	0.55463	0.53134	0.54252	0.29058	0.37047	0.44037	0.36705	0.58767	0.51024	0.44964	0.42081	0.42369	0.42883	0.11978	0.164	0.40012	0.34573	0.41482	0.2858	0.44927	0.4104	0.34662	0.34274	0.30893	0.30592	0.63	0.49162	0.2465	0.23938	0.26411	0.11625	0.4917	0.45774	0.5809	0.54939	0.22373	0.2501	0.39529	0.31612	0.31153	0.25421	0.3894	0.30859	-0.10334	0.36348	0.38531	0.32553	
 SFG_pole_L 	0.45529	0.42245	0.82706	0.79669	1	0.82708	0.42112	0.20677	0.043587	-0.086453	0.11059	0.24553	0.35406	0.15952	0.3117	0.37881	0.39875	0.29492	0.28653	0.24295	0.67774	0.58106	0.15568	0.18029	0.12003	0.31969	0.078447	0.27623	-0.034442	0.17706	0.23385	0.31284	0.31358	0.25096	0.10112	0.20207	0.3438	0.22367	0.58652	0.37302	0.46821	0.42182	0.39338	0.24306	-0.063497	-0.015685	0.22766	0.24268	0.24319	0.12914	0.28931	0.24784	0.23972	0.26064	0.18054	0.20908	0.62265	0.42448	0.21419	0.17729	0.22418	-0.0080185	0.23455	0.1565	0.68237	0.42928	0.024142	0.044946	0.23255	0.15501	0.098844	0.10209	0.32949	0.25893	-0.16939	0.14962	0.18699	0.19884	
 SFG_pole_R 	0.58258	0.60574	0.77518	0.88199	0.82708	1	0.49406	0.42087	0.27232	0.16458	0.24672	0.40059	0.56394	0.4423	0.46806	0.56693	0.4815	0.49576	0.40027	0.40143	0.67369	0.63146	0.36316	0.38424	0.3751	0.50552	0.35357	0.43094	0.30152	0.43858	0.35586	0.46466	0.46402	0.45853	0.26685	0.34011	0.4776	0.35238	0.60356	0.51298	0.54959	0.45102	0.4038	0.35829	0.13977	0.16901	0.45759	0.37162	0.37473	0.27937	0.47094	0.44314	0.42457	0.4293	0.37681	0.39453	0.63561	0.51243	0.2812	0.23952	0.33288	0.10225	0.4405	0.39787	0.58971	0.48588	0.29093	0.22071	0.34919	0.27919	0.28158	0.24346	0.31674	0.27555	-0.13738	0.2646	0.28902	0.26135	
 MFG_L 	0.72369	0.70775	0.70862	0.59003	0.42112	0.49406	1	0.53977	0.59504	0.35237	0.41057	0.40821	0.63662	0.40054	0.70762	0.58195	0.51049	0.47788	0.0878	0.13999	0.27953	0.31487	0.32492	0.37975	0.41994	0.46039	0.32992	0.34986	0.22463	0.32717	0.7466	0.49304	0.29913	0.25671	0.35444	0.39724	0.43383	0.32623	0.61492	0.57758	0.28207	0.21542	0.53905	0.54543	0.19585	0.24263	0.19112	0.18175	0.41502	0.28854	0.33417	0.47362	0.38833	0.34288	0.27339	0.32914	0.46743	0.2007	0.065251	0.049828	0.070133	0.15916	0.42	0.36198	0.28377	0.11843	0.23271	0.17142	0.34449	0.36168	0.4456	0.43609	0.29313	0.12696	0.20769	0.18886	0.4026	0.36597	
 MFG_R 	0.56882	0.58568	0.30676	0.54669	0.20677	0.42087	0.53977	1	0.50156	0.65129	0.042249	0.3805	0.1802	0.3406	0.28859	0.31514	0.32362	0.43105	0.01813	0.26234	0.21614	0.32278	0.42905	0.30859	0.4195	0.42549	0.52902	0.35093	0.44836	0.47773	0.48791	0.77582	0.53158	0.60993	0.3209	0.3308	0.28439	0.33738	0.42013	0.5265	0.17737	0.19805	0.40307	0.54618	0.31997	0.30804	0.32898	0.26152	0.36927	0.25547	0.46336	0.39408	0.28828	0.16612	0.33637	0.24274	0.1997	0.26682	0.17188	0.068125	0.08429	-0.019784	0.47151	0.45928	0.25296	0.46382	0.27156	0.28841	0.48969	0.47731	0.47313	0.22931	0.19005	0.045139	0.07176	0.18483	0.53342	0.38283	
 MFG_DPFC_L 	0.68984	0.61939	0.3042	0.32152	0.043587	0.27232	0.59504	0.50156	1	0.75367	0.42689	0.19038	0.47965	0.33484	0.32476	0.34715	0.31243	0.33978	0.29606	0.42818	0.14483	0.25583	0.52325	0.40248	0.57783	0.43715	0.5309	0.29968	0.60855	0.47308	0.47393	0.28691	0.3818	0.27336	0.39527	0.37252	0.36485	0.19034	0.13762	0.21159	0.2219	-0.15105	0.41061	0.47145	0.35164	0.18284	0.33162	0.24535	0.27624	0.17118	0.27627	0.31878	0.32611	0.1806	0.31375	0.24838	0.2613	0.22745	0.1662	0.01528	0.056426	0.2541	0.61414	0.59552	-0.15586	-0.010219	0.53563	0.34005	0.32787	0.3672	0.49686	0.48758	0.19699	0.074955	0.15886	0.25663	0.40775	0.2817	
 MFG_DPFC_R 	0.46472	0.54615	0.080522	0.30307	-0.086453	0.16458	0.35237	0.65129	0.75367	1	0.24808	0.34239	0.27099	0.47728	0.22519	0.32867	0.28517	0.49543	0.11147	0.31427	0.14906	0.28928	0.49191	0.36352	0.44752	0.40571	0.41225	0.18368	0.48516	0.42878	0.2928	0.44882	0.34536	0.37219	0.37011	0.38443	0.29046	0.35911	0.068881	0.15721	0.18174	-0.16359	0.24409	0.46242	0.37491	0.18454	0.17871	0.060784	0.087061	-0.0049557	0.19278	0.12239	-0.019056	-0.14079	0.11623	-0.019956	0.13573	0.26722	0.076281	-0.036767	-0.025648	0.21782	0.5066	0.55724	-0.28817	0.11119	0.5139	0.46894	0.27228	0.21637	0.32828	0.20909	0.18677	0.12558	0.071175	0.34359	0.45226	0.30633	
