Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby814a_3_1_ax_MNI.img	Telencephalon_L	638560	9.0952	203.2168	111.8200	35.3122	
kirby814a_3_1_ax_MNI.img	Telencephalon_R	657985	6.5702	188.8293	112.9804	34.4982	
kirby814a_3_1_ax_MNI.img	Diencephalon_L	11060	28.2702	185.9909	130.4023	17.1754	
kirby814a_3_1_ax_MNI.img	Diencephalon_R	11508	56.0913	190.4828	131.1325	16.9824	
kirby814a_3_1_ax_MNI.img	Mesencephalon	13388	75.1558	186.9578	153.3803	14.6807	
kirby814a_3_1_ax_MNI.img	Metencephalon	185342	9.1999	182.1879	106.0039	32.6925	
kirby814a_3_1_ax_MNI.img	Myelencephalon	5495	50.2400	180.8060	145.6764	19.4578	
kirby814a_3_1_ax_MNI.img	CSF	113684	1.5927	145.6884	40.7274	18.3729	



Type1-L2 Statistics

kirby814a_3_1_ax_MNI.img	CerebralCortex_L	343663	9.0952	202.9887	83.6541	19.9536	
kirby814a_3_1_ax_MNI.img	CerebralCortex_R	351431	6.5702	168.1805	85.0448	19.0398	
kirby814a_3_1_ax_MNI.img	CerebralNucli_L	15870	45.9646	174.9326	116.1252	18.4491	
kirby814a_3_1_ax_MNI.img	CerebralNucli_R	16589	52.0552	183.4393	119.3932	18.0991	
kirby814a_3_1_ax_MNI.img	Thalamus_L	7383	78.7757	167.9116	130.0624	13.1253	
kirby814a_3_1_ax_MNI.img	Thalamus_R	7846	56.0913	161.3604	129.2700	14.3103	
kirby814a_3_1_ax_MNI.img	BasalForebrain_L	3677	28.2702	185.9909	131.0847	23.2530	
kirby814a_3_1_ax_MNI.img	BasalForebrain_R	3662	60.3314	190.4828	135.1230	21.0759	
kirby814a_3_1_ax_MNI.img	Mesencephalon_L	6757	93.5910	184.7973	154.0575	13.0271	
kirby814a_3_1_ax_MNI.img	Mesencephalon_R	6631	75.1558	186.9578	152.6903	16.1638	
kirby814a_3_1_ax_MNI.img	Metencephalon_R	93569	9.1999	182.1879	107.0163	32.4348	
kirby814a_3_1_ax_MNI.img	Metencephalon_L	91773	9.9461	180.3558	104.9717	32.9211	
kirby814a_3_1_ax_MNI.img	Myelencephalon_L	2491	50.2400	177.6960	143.5711	21.0062	
kirby814a_3_1_ax_MNI.img	Myelencephalon_R	3004	67.1358	180.8060	147.4222	17.8866	
kirby814a_3_1_ax_MNI.img	WhiteMatter_L	279027	41.2786	203.2168	146.2656	13.3905	
kirby814a_3_1_ax_MNI.img	WhiteMatter_R	289965	40.2300	188.8293	146.4707	13.1431	
kirby814a_3_1_ax_MNI.img	Ventricle	18825	1.8243	145.6884	50.2968	27.9187	
kirby814a_3_1_ax_MNI.img	Sulcus_L	51580	2.4071	92.4688	38.3011	14.8008	
kirby814a_3_1_ax_MNI.img	Sulcus_R	43279	1.5927	122.9727	39.4566	15.4310	



Type1-L3 Statistics

kirby814a_3_1_ax_MNI.img	Frontal_L	115695	9.0952	157.9869	79.7221	20.2539	
kirby814a_3_1_ax_MNI.img	Frontal_R	113410	15.8750	141.4727	81.1139	19.1063	
kirby814a_3_1_ax_MNI.img	Parietal_L	50077	15.0263	146.9752	85.2597	19.5424	
kirby814a_3_1_ax_MNI.img	Parietal_R	57251	6.5702	150.3931	85.9427	18.8679	
kirby814a_3_1_ax_MNI.img	Temporal_L	81773	12.8484	151.1071	82.4194	18.8299	
kirby814a_3_1_ax_MNI.img	Temporal_R	83697	9.2961	148.9571	84.5286	17.3582	
kirby814a_3_1_ax_MNI.img	Limbic_L	39177	16.6885	202.9887	89.9403	18.4018	
kirby814a_3_1_ax_MNI.img	Limbic_R	42459	21.0056	168.1805	90.9977	18.8917	
kirby814a_3_1_ax_MNI.img	Occipital_L	50751	11.0921	149.0616	88.8911	20.8237	
kirby814a_3_1_ax_MNI.img	Occipital_R	48537	8.6427	154.5939	89.3402	20.4957	
kirby814a_3_1_ax_MNI.img	Insula_L	8608	28.9444	131.3401	83.8513	14.4220	
kirby814a_3_1_ax_MNI.img	Insula_R	8748	30.2636	134.6993	88.8636	15.0880	
kirby814a_3_1_ax_MNI.img	BasalGang_L	13452	45.9646	174.9326	119.1170	18.1249	
kirby814a_3_1_ax_MNI.img	BasalGang_R	13918	58.5551	183.4393	121.8874	18.2399	
kirby814a_3_1_ax_MNI.img	Thalamus_L	7383	78.7757	167.9116	130.0624	13.1253	
