	 SFG_L 	 SFG_R 	 SFG_PFC_L 	 SFG_PFC_R 	 SFG_pole_L 	 SFG_pole_R 	 MFG_L 	 MFG_R 	 MFG_DPFC_L 	 MFG_DPFC_R 	 IFG_opercularis_L 	 IFG_opercularis_R 	 IFG_orbitalis_L 	 IFG_orbitalis_R 	 IFG_triangularis_L 	 IFG_triangularis_R 	 LFOG_L 	 LFOG_R 	 MFOG_L 	 MFOG_R 	 RG_L 	 RG_R 	 PoCG_L 	 PoCG_R 	 PrCG_L 	 PrCG_R 	 SPG_L 	 SPG_R 	 SMG_L 	 SMG_R 	 AG_L 	 AG_R 	 PrCu_L 	 PrCu_R 	 STG_L 	 STG_R 	 STG_L_pole 	 STG_R_pole 	 MTG_L 	 MTG_R 	 MTG_L_pole 	 MTG_R_pole 	 ITG_L 	 ITG_R 	 FuG_L 	 FuG_R 	 SOG_L 	 SOG_R 	 MOG_L 	 MOG_R 	 IOG_L 	 IOG_R 	 Cu_L 	 Cu_R 	 LG_L 	 LG_R 	 rostral_ACC_L 	 rostral_ACC_R 	 subcallosal_ACC_L 	 subcallosal_ACC_R 	 subgenual_ACC_L 	 subgenual_ACC_R 	 dorsal_ACC_L 	 dorsal_ACC_R 	 PCC_L 	 PCC_R 	 Insula_L 	 Insula_R 	 CerebellumGM_L 	 CerebellumGM_R 	 Caud_L 	 Caud_R 	 Put_L 	 Put_R 	 GP_L 	 GP_R 	 Thalamus_L 	 Thalamus_R 	
 SFG_L 	1	0.57442	0.46599	0.2327	0.12744	-0.0024255	0.68779	0.40258	0.41468	0.065309	0.28555	0.14216	0.29744	0.11435	0.054105	0.044996	0.062994	0.0013346	0.16627	-0.030399	0.31593	0.035979	0.11461	0.15074	0.14808	0.17466	0.22615	0.29527	-0.039029	0.030814	0.42754	0.19385	0.44298	0.23239	0.0076499	0.095408	0.0013291	-0.19397	0.46416	0.31828	0.17226	0.17521	0.40596	0.32325	0.088401	0.23377	0.13214	-0.056383	0.24416	0.19674	0.070258	0.061642	-0.17121	-0.2224	-0.18815	-0.036362	-0.0023174	-0.042356	0.051024	0.074441	-0.15257	0.40335	0.35216	0.11115	0.33866	0.22194	-0.098376	-0.2584	0.13219	0.24216	0.0039843	0.045811	0.055331	0.12538	-0.038945	-0.015592	0.22405	0.25328	
 SFG_R 	0.57442	1	0.092607	0.11705	-0.18183	-0.2712	0.26313	0.30449	0.28741	0.27102	0.04342	0.27308	0.11867	0.31766	0.02976	0.25743	0.26167	-0.014191	0.16863	0.14458	0.25628	-0.065803	0.42889	0.47295	0.46471	0.52934	0.3756	0.56304	0.26532	0.36982	0.025152	0.12763	0.16616	0.29199	0.44706	0.38761	0.24972	0.26715	0.24205	0.46969	0.21582	0.16213	0.34356	0.50529	0.31387	0.45542	0.29528	0.18567	0.24158	0.32153	0.3553	0.41578	-0.063976	-0.093855	-0.025464	0.095282	-0.023547	-0.1037	0.34361	0.18294	0.08044	0.36431	0.34647	0.48629	-0.10086	-0.093149	0.1151	0.16654	0.32209	0.29831	-0.0061518	0.045654	-0.078675	0.096944	0.12692	0.068781	0.029609	0.1604	
 SFG_PFC_L 	0.46599	0.092607	1	0.72127	0.51849	0.33705	0.40377	0.15559	0.34383	0.0054343	0.12152	-0.17348	0.34537	0.029077	0.33266	0.091463	0.073882	-0.12413	0.00010297	-0.19673	0.33019	0.27639	-0.38433	-0.29752	-0.33692	-0.31007	-0.30456	-0.30277	-0.29768	-0.44564	0.41475	0.10635	0.27295	0.16606	-0.3592	-0.28492	-0.025918	-0.21854	0.32691	0.090836	0.049272	0.12012	0.236	0.22479	-0.082687	-0.11774	-0.34538	-0.36504	0.12376	-0.15335	-0.25874	-0.23839	-0.32594	-0.37441	-0.2332	-0.26111	0.52047	0.49049	0.103	0.2093	0.11548	0.19532	-0.036934	0.1149	0.69	0.43357	0.022383	-0.38049	-0.18561	-0.048282	0.18149	0.17649	-0.0095526	-0.017425	-0.081721	-0.087405	0.094375	0.148	
 SFG_PFC_R 	0.2327	0.11705	0.72127	1	0.43358	0.4131	0.22671	0.32827	0.37097	0.36017	-0.02559	0.05447	0.34027	0.3669	0.10904	0.2094	0.070211	-0.0070444	0.085466	0.019074	0.30908	0.31485	-0.35308	-0.32356	-0.30335	-0.34114	-0.37341	-0.25813	-0.17999	-0.42357	0.39672	0.36261	0.19871	0.30816	-0.29666	-0.28766	0.079841	0.01515	0.067516	0.12694	0.011441	0.085128	0.27461	0.3081	-0.05951	-0.12737	-0.335	-0.33793	0.069981	-0.15458	-0.26383	-0.21486	-0.28527	-0.29289	-0.19616	-0.18955	0.61342	0.56941	0.29384	0.32322	0.1592	0.20787	-0.00090533	0.21278	0.53368	0.45849	0.14566	-0.1719	-0.075389	0.0061219	0.19474	0.14348	-0.17238	-0.15935	-0.14516	0.057351	0.031602	0.15592	
 SFG_pole_L 	0.12744	-0.18183	0.51849	0.43358	1	0.7532	0.06861	-0.21488	-0.10748	-0.28724	-0.048255	-0.51085	-0.015309	-0.26949	0.068921	-0.11252	0.29019	0.10841	0.32643	0.097364	0.46329	0.60679	-0.18258	-0.10907	-0.1645	-0.16944	-0.17693	-0.36861	-0.35333	-0.26138	-0.056751	-0.27853	0.11546	-0.12338	-0.25661	-0.23742	-0.048634	-0.16619	0.11077	0.10772	0.080883	0.2322	0.046142	0.018208	-0.13723	-0.12012	-0.13132	-0.045255	0.063232	-0.047638	-0.18921	-0.22338	0.046476	0.057602	0.2169	0.17227	0.51302	0.4563	-0.0095769	0.17819	0.27326	0.39422	-0.031083	-0.015363	0.47317	0.17475	0.037466	-0.37083	-0.12679	0.053632	-0.053119	0.011567	-0.07676	-0.11179	-0.10128	0.078831	-0.054539	-0.19376	
 SFG_pole_R 	-0.0024255	-0.2712	0.33705	0.4131	0.7532	1	0.058838	-0.0039495	-0.012255	-0.023688	-0.20274	-0.36087	-0.0677	-0.14961	-0.12951	-0.10194	0.19938	0.39307	0.2841	0.26865	0.25279	0.67391	-0.098954	-0.015358	-0.14923	-0.16035	-0.19287	-0.31166	-0.39127	-0.36611	0.02605	-0.071521	0.082348	-0.024544	-0.21837	-0.20723	-0.13267	-0.1453	-0.022623	0.049482	-0.042773	0.0033798	-0.0085227	-0.08746	-0.28351	-0.28759	-0.18346	-0.16755	-0.043248	-0.1006	-0.19961	-0.14466	-0.016772	-0.0058025	0.073778	0.04874	0.37094	0.45396	-0.19659	0.2715	0.27558	0.16454	-0.055451	-0.052932	0.45568	0.33985	0.012068	-0.27733	-0.12466	-0.056701	0.080087	0.077189	-0.03509	-0.088819	-0.0054141	0.19646	0.016178	0.0092803	
 MFG_L 	0.68779	0.26313	0.40377	0.22671	0.06861	0.058838	1	0.70336	0.73402	0.37751	0.57135	0.34264	0.48639	0.28724	0.056903	-0.10527	0.10595	0.16517	0.23633	0.10263	0.32587	0.023215	-0.10006	-0.1206	-0.16815	-0.14662	0.17518	0.23383	-0.092232	-0.17554	0.68374	0.51361	0.53409	0.42585	-0.23034	-0.085871	-0.16868	-0.29144	0.4614	0.13433	-0.082994	0.24509	0.4774	0.36623	0.12531	0.16254	0.031541	-0.059495	0.32736	0.22287	0.068485	-0.062809	-0.082181	-0.14554	-0.16376	-0.088191	-0.068869	-0.065543	-0.059554	-0.027833	-0.097012	0.34671	0.15272	-0.13153	0.45787	0.38638	-0.11778	-0.24129	0.23488	0.32493	-0.081464	0.03291	-0.017688	-0.020984	0.011197	-0.13397	0.10744	0.23169	
 MFG_R 	0.40258	0.30449	0.15559	0.32827	-0.21488	-0.0039495	0.70336	1	0.70436	0.7435	0.25848	0.62564	0.43653	0.56849	-0.26378	0.056161	-0.063121	0.29591	0.17527	0.24516	0.16074	-0.056888	-0.053446	-0.12239	-0.17347	-0.14105	0.078117	0.25947	0.0091339	-0.25931	0.62375	0.79542	0.46614	0.63273	-0.18907	-0.11088	-0.18663	-0.15523	0.085978	0.091897	-0.14077	0.018224	0.35854	0.32703	0.060846	0.081625	0.02227	-0.10045	0.30373	0.2012	0.029554	-0.0021481	-0.09966	-0.15984	-0.2064	-0.14456	-0.2337	-0.15839	-0.068836	-0.047682	-0.12019	0.091495	0.15288	-0.12787	0.28094	0.45492	-0.12948	-0.11903	0.25107	0.16142	0.044988	-0.055689	-0.11656	-0.079948	0.049775	0.070562	0.050423	0.27505	
 MFG_DPFC_L 	0.41468	0.28741	0.34383	0.37097	-0.10748	-0.012255	0.73402	0.70436	1	0.67794	0.45402	0.47232	0.59454	0.58543	0.087398	0.13727	0.26325	0.1395	0.20614	0.16308	0.18775	-0.13173	-0.18279	-0.19116	-0.24976	-0.19245	-0.024303	0.10294	0.029109	-0.2602	0.72819	0.59551	0.45505	0.49241	-0.28345	-0.19683	-0.16161	-0.1794	0.13323	0.043715	-0.11522	0.11604	0.29822	0.32556	-0.043588	0.0078795	-0.12414	-0.12987	0.17698	0.0098518	-0.11633	-0.11287	-0.12154	-0.17542	-0.28954	-0.22287	-0.042958	-0.056756	0.11643	0.021981	0.002365	0.10993	0.1133	0.08784	0.39818	0.43634	0.067217	-0.14635	0.075825	0.056818	0.084217	0.11922	0.0045084	0.032708	0.087337	-0.076626	0.14056	0.31476	
 MFG_DPFC_R 	0.065309	0.27102	0.0054343	0.36017	-0.28724	-0.023688	0.37751	0.7435	0.67794	1	0.13544	0.55971	0.24317	0.66753	-0.18673	0.14986	0.1567	0.25424	0.2553	0.37411	0.040441	-0.12246	-0.15748	-0.21026	-0.27568	-0.22819	-0.064484	0.13285	0.16236	-0.21396	0.37804	0.61711	0.22436	0.58106	-0.10239	-0.13563	-0.10052	0.1052	-0.05744	0.08415	-0.10325	0.051818	0.24588	0.32096	0.10584	0.074879	-0.096311	-0.11443	0.1021	0.083506	0.006369	0.040867	-0.16241	-0.19012	-0.25776	-0.27493	-0.14839	-0.0083528	0.053475	0.036327	0.02768	0.033222	0.061993	0.15151	0.083108	0.32278	0.02836	0.097386	0.15839	0.044229	0.08926	0.017834	-0.05345	0.012459	0.11937	0.073258	0.035031	0.24135	
