	 SFG_L 	 SFG_R 	 SFG_PFC_L 	 SFG_PFC_R 	 SFG_pole_L 	 SFG_pole_R 	 MFG_L 	 MFG_R 	 MFG_DPFC_L 	 MFG_DPFC_R 	 IFG_opercularis_L 	 IFG_opercularis_R 	 IFG_orbitalis_L 	 IFG_orbitalis_R 	 IFG_triangularis_L 	 IFG_triangularis_R 	 LFOG_L 	 LFOG_R 	 MFOG_L 	 MFOG_R 	 RG_L 	 RG_R 	 PoCG_L 	 PoCG_R 	 PrCG_L 	 PrCG_R 	 SPG_L 	 SPG_R 	 SMG_L 	 SMG_R 	 AG_L 	 AG_R 	 PrCu_L 	 PrCu_R 	 STG_L 	 STG_R 	 STG_L_pole 	 STG_R_pole 	 MTG_L 	 MTG_R 	 MTG_L_pole 	 MTG_R_pole 	 ITG_L 	 ITG_R 	 FuG_L 	 FuG_R 	 SOG_L 	 SOG_R 	 MOG_L 	 MOG_R 	 IOG_L 	 IOG_R 	 Cu_L 	 Cu_R 	 LG_L 	 LG_R 	 rostral_ACC_L 	 rostral_ACC_R 	 subcallosal_ACC_L 	 subcallosal_ACC_R 	 subgenual_ACC_L 	 subgenual_ACC_R 	 dorsal_ACC_L 	 dorsal_ACC_R 	 PCC_L 	 PCC_R 	 Insula_L 	 Insula_R 	 CerebellumGM_L 	 CerebellumGM_R 	 Caud_L 	 Caud_R 	 Put_L 	 Put_R 	 GP_L 	 GP_R 	 Thalamus_L 	 Thalamus_R 	
 SFG_L 	Inf	0.6541	0.50493	0.23704	0.12814	-0.0024255	0.84374	0.42673	0.44125	0.065402	0.29371	0.14312	0.30671	0.11485	0.054158	0.045027	0.063077	0.0013346	0.16783	-0.030409	0.32712	0.035995	0.11512	0.15189	0.14918	0.17647	0.23013	0.30433	-0.039049	0.030824	0.45688	0.19633	0.47593	0.23672	0.0076501	0.095699	0.0013291	-0.19646	0.5026	0.32973	0.174	0.17704	0.43077	0.33527	0.088632	0.23818	0.13292	-0.056443	0.24919	0.19934	0.070374	0.06172	-0.17292	-0.22618	-0.19042	-0.036378	-0.0023174	-0.042382	0.051068	0.074579	-0.15377	0.42764	0.36791	0.11161	0.35258	0.22569	-0.098695	-0.2644	0.13297	0.24707	0.0039843	0.045843	0.055388	0.12604	-0.038965	-0.015593	0.22792	0.25892	
 SFG_R 	0.6541	Inf	0.092873	0.11759	-0.18387	-0.27816	0.26947	0.31446	0.29574	0.27796	0.043447	0.28019	0.11923	0.32904	0.029768	0.26335	0.2679	-0.014192	0.17025	0.1456	0.26212	-0.065899	0.45854	0.51386	0.5033	0.58922	0.39493	0.63727	0.27182	0.38821	0.025158	0.12833	0.16772	0.30074	0.48102	0.40899	0.25512	0.2738	0.24695	0.50967	0.21927	0.16357	0.35812	0.55638	0.32484	0.49152	0.30435	0.18785	0.24645	0.33336	0.37149	0.44258	-0.064064	-0.094132	-0.025469	0.095572	-0.023552	-0.10408	0.35818	0.18502	0.080614	0.38184	0.36142	0.53119	-0.10121	-0.09342	0.11561	0.1681	0.33398	0.30766	-0.0061519	0.045686	-0.078838	0.097249	0.1276	0.068889	0.029618	0.1618	
 SFG_PFC_L 	0.50493	0.092873	Inf	0.91029	0.57427	0.35076	0.42815	0.15686	0.35843	0.0054343	0.12212	-0.17526	0.36017	0.029085	0.34581	0.091719	0.074017	-0.12477	0.00010297	-0.19932	0.34304	0.28377	-0.40513	-0.30679	-0.35062	-0.32062	-0.31454	-0.31257	-0.30697	-0.47924	0.44133	0.10675	0.28005	0.16761	-0.37597	-0.29302	-0.025924	-0.22212	0.33937	0.091087	0.049312	0.1207	0.24053	0.2287	-0.082876	-0.11828	-0.36018	-0.38269	0.1244	-0.15457	-0.26476	-0.24307	-0.33828	-0.39354	-0.23757	-0.2673	0.57699	0.53671	0.10337	0.21244	0.116	0.19787	-0.036951	0.11541	0.84796	0.46429	0.022387	-0.40063	-0.18779	-0.048319	0.18353	0.17836	-0.0095529	-0.017427	-0.081903	-0.087629	0.094656	0.14909	
 SFG_PFC_R 	0.23704	0.11759	0.91029	Inf	0.4643	0.43935	0.23072	0.34089	0.38954	0.37708	-0.025595	0.054524	0.3544	0.38484	0.10948	0.21254	0.070327	-0.0070445	0.085675	0.019076	0.31953	0.32592	-0.36895	-0.33562	-0.31321	-0.35539	-0.39238	-0.2641	-0.18197	-0.45203	0.41975	0.37989	0.20139	0.31852	-0.30585	-0.29602	0.080012	0.015151	0.067619	0.12763	0.011441	0.085334	0.28184	0.31845	-0.05958	-0.12807	-0.34845	-0.35175	0.070095	-0.15583	-0.27022	-0.21827	-0.29341	-0.30172	-0.19874	-0.19187	0.71438	0.64665	0.30276	0.33524	0.16056	0.21094	-0.00090533	0.21608	0.59527	0.49539	0.14671	-0.17362	-0.075532	0.0061219	0.19726	0.14447	-0.17412	-0.16072	-0.1462	0.057414	0.031613	0.1572	
 SFG_pole_L 	0.12814	-0.18387	0.57427	0.4643	Inf	0.98031	0.068717	-0.21829	-0.10789	-0.29556	-0.048293	-0.56389	-0.01531	-0.27631	0.069031	-0.113	0.29877	0.10884	0.33883	0.097674	0.5015	0.70383	-0.18465	-0.1095	-0.16601	-0.17109	-0.17881	-0.38681	-0.36924	-0.26758	-0.056812	-0.28609	0.11598	-0.12401	-0.26247	-0.24204	-0.048673	-0.16774	0.11122	0.10814	0.08106	0.23651	0.046175	0.01821	-0.1381	-0.1207	-0.13209	-0.045286	0.063317	-0.047674	-0.19152	-0.22721	0.046509	0.057666	0.2204	0.17401	0.56682	0.49262	-0.0095772	0.18012	0.28038	0.41679	-0.031093	-0.015365	0.51415	0.17656	0.037483	-0.38938	-0.12747	0.053683	-0.053169	0.011568	-0.076912	-0.11226	-0.10163	0.078995	-0.054593	-0.19624	
 SFG_pole_R 	-0.0024255	-0.27816	0.35076	0.43935	0.98031	Inf	0.058906	-0.0039495	-0.012256	-0.023692	-0.20559	-0.37789	-0.067804	-0.15074	-0.13024	-0.1023	0.20209	0.41542	0.29214	0.27541	0.25839	0.81787	-0.099278	-0.015359	-0.15035	-0.16175	-0.19532	-0.32239	-0.4133	-0.38392	0.026056	-0.071643	0.082535	-0.024549	-0.22195	-0.21028	-0.13346	-0.14633	-0.022627	0.049522	-0.042799	0.0033798	-0.0085229	-0.087684	-0.29149	-0.29594	-0.18556	-0.16915	-0.043275	-0.10094	-0.20233	-0.14568	-0.016773	-0.0058025	0.073912	0.048779	0.38951	0.48968	-0.19919	0.27849	0.28289	0.16605	-0.055508	-0.052981	0.49184	0.35392	0.012069	-0.28479	-0.12531	-0.056762	0.080259	0.077343	-0.035104	-0.089053	-0.0054142	0.19905	0.01618	0.0092806	
 MFG_L 	0.84374	0.26947	0.42815	0.23072	0.068717	0.058906	Inf	0.87391	0.93738	0.39715	0.64952	0.35708	0.53132	0.29555	0.056965	-0.10566	0.10635	0.1667	0.24088	0.103	0.3382	0.02322	-0.1004	-0.12119	-0.16977	-0.14769	0.17701	0.23824	-0.092495	-0.17738	0.83611	0.56762	0.59584	0.45481	-0.23454	-0.086083	-0.17031	-0.30014	0.49909	0.13515	-0.083185	0.25019	0.51961	0.38406	0.12597	0.16399	0.031551	-0.059565	0.33986	0.22668	0.068592	-0.062892	-0.082367	-0.14658	-0.16524	-0.088421	-0.068979	-0.065637	-0.059625	-0.027841	-0.097318	0.3617	0.15392	-0.1323	0.49462	0.40754	-0.11832	-0.24615	0.23934	0.33715	-0.081645	0.032922	-0.01769	-0.020987	0.011198	-0.13478	0.10785	0.23598	
 MFG_R 	0.42673	0.31446	0.15686	0.34089	-0.21829	-0.0039495	0.87391	Inf	0.8759	0.95826	0.26448	0.73421	0.46794	0.64529	-0.27017	0.05622	-0.063205	0.30503	0.1771	0.25025	0.16214	-0.05695	-0.053497	-0.123	-0.17524	-0.14199	0.078277	0.26554	0.0091342	-0.26537	0.73112	1.086	0.50512	0.74595	-0.19137	-0.11134	-0.18885	-0.1565	0.086191	0.092157	-0.14171	0.018226	0.37521	0.3395	0.060921	0.081807	0.022274	-0.10079	0.31363	0.20398	0.029563	-0.0021481	-0.099992	-0.16122	-0.20941	-0.14558	-0.2381	-0.15973	-0.068945	-0.047718	-0.12077	0.091752	0.15409	-0.12857	0.28871	0.49088	-0.13022	-0.1196	0.25655	0.16284	0.045018	-0.055747	-0.11709	-0.080119	0.049816	0.070679	0.050466	0.28232	
 MFG_DPFC_L 	0.44125	0.29574	0.35843	0.38954	-0.10789	-0.012256	0.93738	0.8759	Inf	0.8253	0.48976	0.51305	0.68466	0.67068	0.087621	0.13815	0.26959	0.14042	0.20914	0.16455	0.19	-0.1325	-0.18487	-0.19354	-0.25516	-0.19488	-0.024307	0.10331	0.029117	-0.26632	0.92486	0.68616	0.49105	0.53924	-0.29143	-0.19943	-0.16304	-0.18136	0.13403	0.043742	-0.11573	0.11657	0.30756	0.33786	-0.043616	0.0078796	-0.12478	-0.13061	0.17887	0.0098521	-0.11686	-0.11335	-0.12215	-0.17725	-0.29806	-0.22667	-0.042984	-0.056817	0.11696	0.021984	0.002365	0.11038	0.11378	0.088067	0.42149	0.4677	0.067318	-0.14741	0.07597	0.056879	0.084417	0.11979	0.0045085	0.03272	0.08756	-0.076777	0.14149	0.32583	
 MFG_DPFC_R 	0.065402	0.27796	0.0054343	0.37708	-0.29556	-0.023692	0.39715	0.95826	0.8253	Inf	0.13628	0.63241	0.24814	0.80627	-0.18895	0.151	0.158	0.25994	0.26108	0.39319	0.040463	-0.12308	-0.15881	-0.21344	-0.283	-0.23228	-0.064574	0.13364	0.16381	-0.21731	0.39777	0.72032	0.22825	0.66406	-0.10275	-0.13647	-0.10086	0.10559	-0.057504	0.084349	-0.10362	0.051865	0.25102	0.33271	0.10624	0.075019	-0.09661	-0.11494	0.10246	0.083701	0.0063691	0.04089	-0.16386	-0.19246	-0.2637	-0.28219	-0.1495	-0.008353	0.053526	0.036343	0.027687	0.033234	0.062073	0.15268	0.0833	0.33475	0.028368	0.097695	0.15973	0.044258	0.089498	0.017836	-0.053501	0.012459	0.11994	0.07339	0.035045	0.2462	
