Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby656b_3_1_ax_MNI.img	Telencephalon_L	634477	10.6224	196.8205	108.4516	34.8800	
kirby656b_3_1_ax_MNI.img	Telencephalon_R	656402	5.2638	190.3818	109.2343	34.4627	
kirby656b_3_1_ax_MNI.img	Diencephalon_L	11064	43.8057	174.6450	127.5717	16.5182	
kirby656b_3_1_ax_MNI.img	Diencephalon_R	11409	25.2623	175.0229	126.9062	16.7721	
kirby656b_3_1_ax_MNI.img	Mesencephalon	13976	66.5086	182.4608	148.4970	13.7338	
kirby656b_3_1_ax_MNI.img	Metencephalon	181771	10.5557	177.4519	107.0104	30.9276	
kirby656b_3_1_ax_MNI.img	Myelencephalon	5557	28.5961	191.8739	141.3291	20.3438	
kirby656b_3_1_ax_MNI.img	CSF	77301	1.1724	143.6945	36.9949	19.2137	



Type1-L2 Statistics

kirby656b_3_1_ax_MNI.img	CerebralCortex_L	317851	10.6224	164.8722	78.0057	17.5130	
kirby656b_3_1_ax_MNI.img	CerebralCortex_R	328967	5.2638	156.3627	79.1239	17.2948	
kirby656b_3_1_ax_MNI.img	CerebralNucli_L	15630	40.8956	166.2329	112.0678	17.2179	
kirby656b_3_1_ax_MNI.img	CerebralNucli_R	16284	33.4763	166.2373	113.6299	17.7891	
kirby656b_3_1_ax_MNI.img	Thalamus_L	7479	66.9097	160.1031	128.3399	13.3250	
kirby656b_3_1_ax_MNI.img	Thalamus_R	7699	52.5131	160.7358	127.1470	13.9467	
kirby656b_3_1_ax_MNI.img	BasalForebrain_L	3585	43.8057	174.6450	125.9689	21.6300	
kirby656b_3_1_ax_MNI.img	BasalForebrain_R	3710	25.2623	175.0229	126.4067	21.4721	
kirby656b_3_1_ax_MNI.img	Mesencephalon_L	6942	72.1211	182.4608	148.3868	13.1238	
kirby656b_3_1_ax_MNI.img	Mesencephalon_R	7034	66.5086	179.6460	148.6058	14.3095	
kirby656b_3_1_ax_MNI.img	Metencephalon_R	91617	15.6798	177.4519	108.5187	30.4715	
kirby656b_3_1_ax_MNI.img	Metencephalon_L	90154	10.5557	175.2516	105.4776	31.3099	
kirby656b_3_1_ax_MNI.img	Myelencephalon_L	2645	28.5961	191.8739	138.9683	22.7160	
kirby656b_3_1_ax_MNI.img	Myelencephalon_R	2912	46.1101	175.9589	143.4734	17.6474	
kirby656b_3_1_ax_MNI.img	WhiteMatter_L	300996	27.7243	196.8205	140.4145	14.9699	
kirby656b_3_1_ax_MNI.img	WhiteMatter_R	311151	20.3289	190.3818	140.8388	14.6394	
kirby656b_3_1_ax_MNI.img	Ventricle	24468	1.6936	143.6945	41.9986	27.4210	
kirby656b_3_1_ax_MNI.img	Sulcus_L	27433	1.1724	79.7938	34.4566	12.8312	
kirby656b_3_1_ax_MNI.img	Sulcus_R	25400	2.1078	84.7190	34.9162	13.6370	



Type1-L3 Statistics

kirby656b_3_1_ax_MNI.img	Frontal_L	106423	10.6224	164.8722	75.5059	17.8795	
kirby656b_3_1_ax_MNI.img	Frontal_R	110129	10.4257	148.4462	76.0250	17.4707	
kirby656b_3_1_ax_MNI.img	Parietal_L	50430	18.9137	134.5113	77.8939	16.9030	
kirby656b_3_1_ax_MNI.img	Parietal_R	56021	12.3510	141.1293	79.7977	16.3329	
kirby656b_3_1_ax_MNI.img	Temporal_L	76510	15.3303	162.4686	77.9381	16.2398	
kirby656b_3_1_ax_MNI.img	Temporal_R	73905	11.7824	156.3627	80.9932	15.7999	
kirby656b_3_1_ax_MNI.img	Limbic_L	37166	23.1728	150.6555	86.6309	17.0274	
kirby656b_3_1_ax_MNI.img	Limbic_R	43278	11.9330	149.8322	83.8037	18.2508	
kirby656b_3_1_ax_MNI.img	Occipital_L	41046	11.1542	144.3097	77.6554	18.2051	
kirby656b_3_1_ax_MNI.img	Occipital_R	39732	5.2638	141.1225	78.0966	18.4718	
kirby656b_3_1_ax_MNI.img	Insula_L	8658	23.0787	138.7243	79.4662	15.0647	
kirby656b_3_1_ax_MNI.img	Insula_R	8736	21.7593	141.6054	85.9066	15.4743	
kirby656b_3_1_ax_MNI.img	BasalGang_L	13248	40.8956	166.2329	115.0238	16.6995	
kirby656b_3_1_ax_MNI.img	BasalGang_R	13450	33.4763	166.2373	116.7689	17.4024	
kirby656b_3_1_ax_MNI.img	Thalamus_L	7479	66.9097	160.1031	128.3399	13.3250	
