Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby913a_3_1_ax_MNI.img	Telencephalon_L	611456	4.7134	189.9211	106.7381	33.5514	
kirby913a_3_1_ax_MNI.img	Telencephalon_R	623833	4.7784	222.0547	106.5632	33.5152	
kirby913a_3_1_ax_MNI.img	Diencephalon_L	12648	41.7358	177.9068	125.9405	15.6023	
kirby913a_3_1_ax_MNI.img	Diencephalon_R	12346	60.6822	255.0000	125.4648	15.8840	
kirby913a_3_1_ax_MNI.img	Mesencephalon	14389	67.8217	184.6436	145.2843	12.9544	
kirby913a_3_1_ax_MNI.img	Metencephalon	221734	5.3655	170.4196	97.4327	32.6853	
kirby913a_3_1_ax_MNI.img	Myelencephalon	5471	48.8575	176.6934	137.1447	18.6805	
kirby913a_3_1_ax_MNI.img	CSF	115572	1.4829	145.1452	39.7380	17.7594	



Type1-L2 Statistics

kirby913a_3_1_ax_MNI.img	CerebralCortex_L	323921	4.7134	189.9211	79.4374	18.5690	
kirby913a_3_1_ax_MNI.img	CerebralCortex_R	330853	4.7784	222.0547	79.1786	18.0110	
kirby913a_3_1_ax_MNI.img	CerebralNucli_L	17458	53.3393	163.3682	110.7457	16.2768	
kirby913a_3_1_ax_MNI.img	CerebralNucli_R	18499	62.6653	165.2859	111.3308	16.6157	
kirby913a_3_1_ax_MNI.img	Thalamus_L	8698	61.7374	154.0533	126.5306	12.4521	
kirby913a_3_1_ax_MNI.img	Thalamus_R	8522	60.6822	156.5864	125.1070	13.3800	
kirby913a_3_1_ax_MNI.img	BasalForebrain_L	3950	41.7358	177.9068	124.6411	20.8706	
kirby913a_3_1_ax_MNI.img	BasalForebrain_R	3824	62.2400	255.0000	126.2622	20.3637	
kirby913a_3_1_ax_MNI.img	Mesencephalon_L	7143	67.8217	173.7556	145.8849	12.1839	
kirby913a_3_1_ax_MNI.img	Mesencephalon_R	7246	73.2282	184.6436	144.6923	13.6456	
kirby913a_3_1_ax_MNI.img	Metencephalon_R	112498	5.3655	169.6374	97.5368	32.7364	
kirby913a_3_1_ax_MNI.img	Metencephalon_L	109236	7.1839	170.4196	97.3254	32.6322	
kirby913a_3_1_ax_MNI.img	Myelencephalon_L	2517	48.8575	167.5892	134.4262	20.0359	
kirby913a_3_1_ax_MNI.img	Myelencephalon_R	2954	54.1380	176.6934	139.4611	17.1052	
kirby913a_3_1_ax_MNI.img	WhiteMatter_L	270077	42.7740	175.6475	139.2226	12.9502	
kirby913a_3_1_ax_MNI.img	WhiteMatter_R	274481	37.2093	184.4211	139.2507	13.0143	
kirby913a_3_1_ax_MNI.img	Ventricle	18659	2.0783	145.1452	51.1103	24.7702	
kirby913a_3_1_ax_MNI.img	Sulcus_L	53495	1.4829	94.6712	36.6528	15.2196	
kirby913a_3_1_ax_MNI.img	Sulcus_R	43418	2.4692	107.9302	38.6521	14.8988	



Type1-L3 Statistics

kirby913a_3_1_ax_MNI.img	Frontal_L	109357	9.2609	156.4533	76.7802	18.6968	
kirby913a_3_1_ax_MNI.img	Frontal_R	110951	4.7784	143.6555	76.9006	18.4017	
kirby913a_3_1_ax_MNI.img	Parietal_L	51959	10.4328	148.0432	80.3785	18.6252	
kirby913a_3_1_ax_MNI.img	Parietal_R	56717	8.3192	144.0057	78.1524	19.0558	
kirby913a_3_1_ax_MNI.img	Temporal_L	82120	7.7897	149.3446	78.9814	17.4449	
kirby913a_3_1_ax_MNI.img	Temporal_R	81253	16.0875	165.5264	79.3064	15.9919	
kirby913a_3_1_ax_MNI.img	Limbic_L	33851	18.1375	154.9509	86.9888	16.8737	
kirby913a_3_1_ax_MNI.img	Limbic_R	36849	21.4148	166.1787	85.7343	16.4376	
kirby913a_3_1_ax_MNI.img	Occipital_L	40631	4.7134	151.5443	80.4515	20.5953	
kirby913a_3_1_ax_MNI.img	Occipital_R	39023	8.5635	141.7898	80.3489	19.5173	
kirby913a_3_1_ax_MNI.img	Insula_L	8427	23.3037	189.9211	82.4134	13.7449	
kirby913a_3_1_ax_MNI.img	Insula_R	8921	31.5430	222.0547	86.6986	14.8626	
kirby913a_3_1_ax_MNI.img	BasalGang_L	15034	53.3393	163.3682	112.9492	16.2170	
kirby913a_3_1_ax_MNI.img	BasalGang_R	15638	62.6653	165.2859	113.7744	16.6321	
kirby913a_3_1_ax_MNI.img	Thalamus_L	8698	61.7374	154.0533	126.5306	12.4521	
