Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby934b_3_1_ax_MNI.img	Telencephalon_L	646793	6.4153	222.8327	128.3852	41.2322	
kirby934b_3_1_ax_MNI.img	Telencephalon_R	657227	7.3357	244.0540	130.7240	40.0431	
kirby934b_3_1_ax_MNI.img	Diencephalon_L	10218	44.9453	217.9876	162.3651	19.2860	
kirby934b_3_1_ax_MNI.img	Diencephalon_R	10498	54.5137	216.0096	160.4811	19.0287	
kirby934b_3_1_ax_MNI.img	Mesencephalon	11366	86.2511	216.9988	180.1435	15.7231	
kirby934b_3_1_ax_MNI.img	Metencephalon	155349	8.7432	213.1555	129.4633	36.8657	
kirby934b_3_1_ax_MNI.img	Myelencephalon	5248	69.2355	207.4633	171.4760	20.4510	
kirby934b_3_1_ax_MNI.img	CSF	112608	1.1053	167.5714	37.6901	22.5433	



Type1-L2 Statistics

kirby934b_3_1_ax_MNI.img	CerebralCortex_L	343052	6.4153	194.0175	95.3895	23.1542	
kirby934b_3_1_ax_MNI.img	CerebralCortex_R	347133	7.3357	184.5832	98.3439	22.6126	
kirby934b_3_1_ax_MNI.img	CerebralNucli_L	14888	64.1253	211.3019	142.8407	21.5630	
kirby934b_3_1_ax_MNI.img	CerebralNucli_R	15168	43.0706	208.3716	145.0284	20.2312	
kirby934b_3_1_ax_MNI.img	Thalamus_L	6749	94.1559	206.9060	164.9105	13.3796	
kirby934b_3_1_ax_MNI.img	Thalamus_R	6983	79.6400	200.6444	161.0452	14.9287	
kirby934b_3_1_ax_MNI.img	BasalForebrain_L	3469	44.9453	217.9876	157.4129	26.6492	
kirby934b_3_1_ax_MNI.img	BasalForebrain_R	3515	54.5137	216.0096	159.3604	25.2347	
kirby934b_3_1_ax_MNI.img	Mesencephalon_L	5704	106.0073	216.9988	181.2070	14.5376	
kirby934b_3_1_ax_MNI.img	Mesencephalon_R	5662	86.2511	215.0926	179.0721	16.7651	
kirby934b_3_1_ax_MNI.img	Metencephalon_R	78240	16.3606	213.1555	131.0872	36.3614	
kirby934b_3_1_ax_MNI.img	Metencephalon_L	77109	8.7432	209.6616	127.8156	37.2983	
kirby934b_3_1_ax_MNI.img	Myelencephalon_L	2396	69.2355	207.4633	168.9538	21.9586	
kirby934b_3_1_ax_MNI.img	Myelencephalon_R	2852	86.9259	203.9351	173.5949	18.8333	
kirby934b_3_1_ax_MNI.img	WhiteMatter_L	288853	47.4767	222.8327	166.8270	19.0945	
kirby934b_3_1_ax_MNI.img	WhiteMatter_R	294926	36.2863	244.0540	168.1003	17.5710	
kirby934b_3_1_ax_MNI.img	Ventricle	35901	1.9829	167.5714	45.0398	29.5193	
kirby934b_3_1_ax_MNI.img	Sulcus_L	41662	1.1053	102.2934	33.3025	16.8985	
kirby934b_3_1_ax_MNI.img	Sulcus_R	35045	1.7746	101.5747	35.3770	17.8112	



Type1-L3 Statistics

kirby934b_3_1_ax_MNI.img	Frontal_L	112458	8.7085	168.2156	94.9173	23.3442	
kirby934b_3_1_ax_MNI.img	Frontal_R	110858	13.6331	165.3044	95.8498	22.7092	
kirby934b_3_1_ax_MNI.img	Parietal_L	56830	10.1248	168.8350	90.7684	23.3743	
kirby934b_3_1_ax_MNI.img	Parietal_R	60089	7.3357	166.5784	93.2340	23.5533	
kirby934b_3_1_ax_MNI.img	Temporal_L	79302	10.4881	178.2568	94.1215	21.0491	
kirby934b_3_1_ax_MNI.img	Temporal_R	79516	11.8166	170.9241	99.3043	20.1237	
kirby934b_3_1_ax_MNI.img	Limbic_L	36289	24.6214	194.0175	109.9178	20.3800	
kirby934b_3_1_ax_MNI.img	Limbic_R	39660	21.7372	184.5832	109.1203	21.2020	
kirby934b_3_1_ax_MNI.img	Occipital_L	50730	6.4153	158.6166	92.1931	23.6102	
kirby934b_3_1_ax_MNI.img	Occipital_R	49195	10.0560	177.0390	99.3719	22.8726	
kirby934b_3_1_ax_MNI.img	Insula_L	9775	26.3699	175.7639	107.2333	20.7840	
kirby934b_3_1_ax_MNI.img	Insula_R	10437	25.3117	174.9759	108.3201	23.2873	
kirby934b_3_1_ax_MNI.img	BasalGang_L	12556	64.1253	211.3019	146.5113	21.0957	
kirby934b_3_1_ax_MNI.img	BasalGang_R	12546	57.0598	208.3716	148.8149	19.6574	
kirby934b_3_1_ax_MNI.img	Thalamus_L	6749	94.1559	206.9060	164.9105	13.3796	
