Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby849b_3_1_ax_MNI.img	Telencephalon_L	643948	11.3703	223.4140	137.4106	40.4002	
kirby849b_3_1_ax_MNI.img	Telencephalon_R	648405	5.8554	221.6730	138.3357	39.7238	
kirby849b_3_1_ax_MNI.img	Diencephalon_L	11127	82.9187	230.4125	160.9883	19.1635	
kirby849b_3_1_ax_MNI.img	Diencephalon_R	11482	62.8267	227.5423	160.9804	19.3986	
kirby849b_3_1_ax_MNI.img	Mesencephalon	12861	88.1134	232.4921	186.4615	17.6678	
kirby849b_3_1_ax_MNI.img	Metencephalon	203380	18.2882	225.6943	132.3452	37.6287	
kirby849b_3_1_ax_MNI.img	Myelencephalon	5549	63.1009	225.8285	174.8901	25.5535	
kirby849b_3_1_ax_MNI.img	CSF	111392	1.3114	169.3093	48.6345	23.9277	



Type1-L2 Statistics

kirby849b_3_1_ax_MNI.img	CerebralCortex_L	336906	11.3703	193.9263	103.9827	21.3745	
kirby849b_3_1_ax_MNI.img	CerebralCortex_R	337894	5.8554	186.5693	105.2862	20.7722	
kirby849b_3_1_ax_MNI.img	CerebralNucli_L	14860	66.0128	216.6844	150.5513	21.3705	
kirby849b_3_1_ax_MNI.img	CerebralNucli_R	15415	71.5348	221.0210	151.0063	21.0228	
kirby849b_3_1_ax_MNI.img	Thalamus_L	7393	94.1498	196.9917	160.5996	15.2960	
kirby849b_3_1_ax_MNI.img	Thalamus_R	7582	81.7201	200.6784	161.2252	16.1837	
kirby849b_3_1_ax_MNI.img	BasalForebrain_L	3734	82.9187	230.4125	161.7580	25.1042	
kirby849b_3_1_ax_MNI.img	BasalForebrain_R	3900	62.8267	227.5423	160.5044	24.4613	
kirby849b_3_1_ax_MNI.img	Mesencephalon_L	6467	103.8967	232.4921	187.9308	16.2913	
kirby849b_3_1_ax_MNI.img	Mesencephalon_R	6394	88.1134	223.0604	184.9754	18.8424	
kirby849b_3_1_ax_MNI.img	Metencephalon_R	101731	18.2882	224.4821	131.6353	37.5301	
kirby849b_3_1_ax_MNI.img	Metencephalon_L	101649	19.3712	225.6943	133.0556	37.7138	
kirby849b_3_1_ax_MNI.img	Myelencephalon_L	2641	63.1009	225.8285	174.6987	27.0435	
kirby849b_3_1_ax_MNI.img	Myelencephalon_R	2908	83.2612	222.3801	175.0639	24.1194	
kirby849b_3_1_ax_MNI.img	WhiteMatter_L	292182	49.0784	223.4140	175.2870	17.7565	
kirby849b_3_1_ax_MNI.img	WhiteMatter_R	295096	59.1603	221.6730	175.5165	17.5673	
kirby849b_3_1_ax_MNI.img	Ventricle	24443	4.0578	169.3093	59.0019	29.9562	
kirby849b_3_1_ax_MNI.img	Sulcus_L	47256	1.3114	110.0926	44.5480	20.8396	
kirby849b_3_1_ax_MNI.img	Sulcus_R	39693	1.5491	122.6848	47.1154	21.1827	



Type1-L3 Statistics

kirby849b_3_1_ax_MNI.img	Frontal_L	103613	25.1368	193.9263	102.2908	21.1241	
kirby849b_3_1_ax_MNI.img	Frontal_R	103144	15.2762	176.6572	104.6908	20.5255	
kirby849b_3_1_ax_MNI.img	Parietal_L	60515	13.2152	180.7514	103.5794	21.3650	
kirby849b_3_1_ax_MNI.img	Parietal_R	62371	5.8554	180.6780	103.8690	20.9157	
kirby849b_3_1_ax_MNI.img	Temporal_L	82133	11.3703	182.8644	102.1404	20.2149	
kirby849b_3_1_ax_MNI.img	Temporal_R	79979	14.3030	176.4286	104.7371	19.3622	
kirby849b_3_1_ax_MNI.img	Limbic_L	38818	34.0478	184.6499	115.0765	20.0748	
kirby849b_3_1_ax_MNI.img	Limbic_R	40283	25.7938	184.2981	112.8606	20.2099	
kirby849b_3_1_ax_MNI.img	Occipital_L	45740	13.8974	178.9336	102.8008	23.1099	
kirby849b_3_1_ax_MNI.img	Occipital_R	45902	8.0120	186.5693	102.9324	23.0474	
kirby849b_3_1_ax_MNI.img	Insula_L	8355	19.9072	155.9660	107.6781	17.6704	
kirby849b_3_1_ax_MNI.img	Insula_R	8700	24.0799	163.9235	111.8483	18.2044	
kirby849b_3_1_ax_MNI.img	BasalGang_L	12592	76.0156	216.6844	154.4581	20.3430	
kirby849b_3_1_ax_MNI.img	BasalGang_R	12930	76.8450	221.0210	155.1184	19.9665	
kirby849b_3_1_ax_MNI.img	Thalamus_L	7393	94.1498	196.9917	160.5996	15.2960	
