Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

mkirby849a_3_1_ax_MNI.img	Telencephalon_L	541819	7.5242	195.0376	123.9286	35.9180	
mkirby849a_3_1_ax_MNI.img	Telencephalon_R	545623	12.0307	199.0083	123.9936	35.3346	
mkirby849a_3_1_ax_MNI.img	Diencephalon_L	9596	84.2346	201.1302	142.7752	17.6468	
mkirby849a_3_1_ax_MNI.img	Diencephalon_R	9556	72.6662	198.8287	142.2624	17.2741	
mkirby849a_3_1_ax_MNI.img	Mesencephalon	10681	86.8792	207.1547	164.7448	15.1465	
mkirby849a_3_1_ax_MNI.img	Metencephalon	172269	14.3551	196.0254	120.9965	31.2365	
mkirby849a_3_1_ax_MNI.img	Myelencephalon	4798	49.5922	197.2566	156.4959	22.3020	
mkirby849a_3_1_ax_MNI.img	CSF	100069	0.5831	159.2490	43.8721	21.7526	



Type1-L2 Statistics

mkirby849a_3_1_ax_MNI.img	CerebralCortex_L	281239	7.5242	176.3664	94.0345	19.0384	
mkirby849a_3_1_ax_MNI.img	CerebralCortex_R	283672	12.0307	167.0083	94.5032	18.3039	
mkirby849a_3_1_ax_MNI.img	CerebralNucli_L	12624	62.3910	193.3670	133.4152	19.5647	
mkirby849a_3_1_ax_MNI.img	CerebralNucli_R	12958	54.4746	199.0083	133.8144	19.0245	
mkirby849a_3_1_ax_MNI.img	Thalamus_L	6292	84.2346	179.1910	143.1729	13.8508	
mkirby849a_3_1_ax_MNI.img	Thalamus_R	6293	74.6778	179.9725	142.6914	14.4512	
mkirby849a_3_1_ax_MNI.img	BasalForebrain_L	3304	84.6628	201.1302	142.0179	23.1997	
mkirby849a_3_1_ax_MNI.img	BasalForebrain_R	3263	72.6662	198.8287	141.4350	21.6811	
mkirby849a_3_1_ax_MNI.img	Mesencephalon_L	5332	88.6923	199.6359	164.9368	14.4635	
mkirby849a_3_1_ax_MNI.img	Mesencephalon_R	5349	86.8792	207.1547	164.5534	15.7957	
mkirby849a_3_1_ax_MNI.img	Metencephalon_R	85616	16.2645	192.8298	120.4988	31.4659	
mkirby849a_3_1_ax_MNI.img	Metencephalon_L	86653	14.3551	196.0254	121.4883	31.0003	
mkirby849a_3_1_ax_MNI.img	Myelencephalon_L	2296	49.5922	197.2566	155.3005	24.0181	
mkirby849a_3_1_ax_MNI.img	Myelencephalon_R	2502	60.1097	193.0854	157.5928	20.5408	
mkirby849a_3_1_ax_MNI.img	WhiteMatter_L	247956	43.1954	195.0376	157.3524	15.9095	
mkirby849a_3_1_ax_MNI.img	WhiteMatter_R	248993	53.9555	195.1301	157.0803	15.6475	
mkirby849a_3_1_ax_MNI.img	Ventricle	20772	3.3614	159.2490	52.4139	27.7484	
mkirby849a_3_1_ax_MNI.img	Sulcus_L	42453	0.5831	113.7315	40.5032	19.1673	
mkirby849a_3_1_ax_MNI.img	Sulcus_R	36844	0.7566	104.0994	42.9382	19.3042	



Type1-L3 Statistics

mkirby849a_3_1_ax_MNI.img	Frontal_L	86081	17.0321	160.6818	91.5200	18.9346	
mkirby849a_3_1_ax_MNI.img	Frontal_R	85565	18.2305	163.2190	93.3555	18.2596	
mkirby849a_3_1_ax_MNI.img	Parietal_L	50292	16.4968	166.9453	94.0445	19.5453	
mkirby849a_3_1_ax_MNI.img	Parietal_R	52915	15.4931	165.7139	93.6585	18.8611	
mkirby849a_3_1_ax_MNI.img	Temporal_L	68792	7.5242	171.7991	93.4786	17.7175	
mkirby849a_3_1_ax_MNI.img	Temporal_R	66945	19.4568	162.0994	94.0680	16.5827	
mkirby849a_3_1_ax_MNI.img	Limbic_L	32278	30.2704	168.4751	100.0866	17.4643	
mkirby849a_3_1_ax_MNI.img	Limbic_R	34211	20.0039	166.3757	98.6862	17.9685	
mkirby849a_3_1_ax_MNI.img	Occipital_L	38718	11.4811	176.3664	96.0769	21.3280	
mkirby849a_3_1_ax_MNI.img	Occipital_R	38862	12.0307	167.0083	95.3527	20.6084	
mkirby849a_3_1_ax_MNI.img	Insula_L	7010	22.7885	153.3045	96.0783	15.3124	
mkirby849a_3_1_ax_MNI.img	Insula_R	7337	30.2922	148.0538	99.9084	15.6303	
mkirby849a_3_1_ax_MNI.img	BasalGang_L	10692	64.8084	193.3670	137.2993	18.4158	
mkirby849a_3_1_ax_MNI.img	BasalGang_R	10795	54.4746	199.0083	137.6392	18.1590	
