	 SFG_L 	 SFG_R 	 SFG_PFC_L 	 SFG_PFC_R 	 SFG_pole_L 	 SFG_pole_R 	 MFG_L 	 MFG_R 	 MFG_DPFC_L 	 MFG_DPFC_R 	 IFG_opercularis_L 	 IFG_opercularis_R 	 IFG_orbitalis_L 	 IFG_orbitalis_R 	 IFG_triangularis_L 	 IFG_triangularis_R 	 LFOG_L 	 LFOG_R 	 MFOG_L 	 MFOG_R 	 RG_L 	 RG_R 	 PoCG_L 	 PoCG_R 	 PrCG_L 	 PrCG_R 	 SPG_L 	 SPG_R 	 SMG_L 	 SMG_R 	 AG_L 	 AG_R 	 PrCu_L 	 PrCu_R 	 STG_L 	 STG_R 	 STG_L_pole 	 STG_R_pole 	 MTG_L 	 MTG_R 	 MTG_L_pole 	 MTG_R_pole 	 ITG_L 	 ITG_R 	 FuG_L 	 FuG_R 	 SOG_L 	 SOG_R 	 MOG_L 	 MOG_R 	 IOG_L 	 IOG_R 	 Cu_L 	 Cu_R 	 LG_L 	 LG_R 	 rostral_ACC_L 	 rostral_ACC_R 	 subcallosal_ACC_L 	 subcallosal_ACC_R 	 subgenual_ACC_L 	 subgenual_ACC_R 	 dorsal_ACC_L 	 dorsal_ACC_R 	 PCC_L 	 PCC_R 	 Insula_L 	 Insula_R 	 CerebellumGM_L 	 CerebellumGM_R 	 Caud_L 	 Caud_R 	 Put_L 	 Put_R 	 GP_L 	 GP_R 	 Thalamus_L 	 Thalamus_R 	
 SFG_L 	1	0.77239	0.65267	0.51076	0.16344	0.34197	0.67573	0.5158	0.70123	0.26653	0.23731	0.39354	0.0014508	0.0099435	0.26501	0.030052	-0.12441	-0.14837	-0.17779	-0.43427	-0.4045	-0.30354	0.32748	0.24618	0.59532	0.46545	0.50299	0.33734	0.462	0.14963	0.24713	-0.021402	0.28736	0.32076	0.13779	0.29639	-0.16808	0.10061	-0.055823	0.34143	0.16679	0.15799	-0.032298	0.31049	0.1818	0.2461	0.25362	0.26029	0.24519	0.31766	0.15504	0.23727	0.29073	0.25331	0.26707	0.17393	0.23052	0.090411	-0.072736	0.01263	-0.37286	-0.44312	0.76653	0.56794	0.069921	0.16213	0.10978	-0.12078	0.23023	0.24835	-0.17095	-0.24182	-0.027632	0.054728	-0.17091	-0.22131	0.1943	0.038386	
 SFG_R 	0.77239	1	0.59367	0.53197	0.25845	0.44458	0.45515	0.47044	0.61583	0.3497	0.3674	0.4281	0.070722	0.10628	0.39829	0.13594	0.11246	-0.010725	-0.26707	-0.4371	-0.26156	-0.17385	0.30517	0.4317	0.60343	0.62331	0.30136	0.37685	0.34491	0.23707	0.072768	0.06621	0.21949	0.38267	0.27835	0.38121	-0.0512	0.10325	0.063277	0.20681	0.15527	-0.022019	-0.15808	-0.018524	-0.022432	0.10165	0.16698	0.23168	0.12299	0.23447	0.11343	0.16027	0.22438	0.21322	0.24414	0.15847	0.40253	0.42616	0.14354	0.0032873	-0.30651	-0.31531	0.70792	0.66483	0.15901	0.15854	0.30836	0.16678	0.15422	0.30218	-0.053539	0.0042581	0.12711	0.22763	0.046981	-0.10786	0.2186	0.10158	
 SFG_PFC_L 	0.65267	0.59367	1	0.9103	0.35475	0.7382	0.78034	0.7692	0.74194	0.54574	0.48419	0.77339	0.12614	0.281	0.20025	0.2553	-0.12124	-0.031826	-0.23837	-0.42374	-0.27896	-0.21315	0.15521	0.23571	0.482	0.56387	0.15737	0.099033	0.21438	-0.03646	0.11454	-0.013449	-0.032948	-0.011292	-0.14711	0.07684	-0.0036913	0.19754	0.11195	0.31701	0.043328	-0.00052294	-0.20188	0.074806	0.041138	0.11233	0.1913	0.027082	0.29621	0.28223	0.20445	0.206	0.082618	0.086029	0.10636	0.076378	0.52384	0.26807	-0.030025	0.11223	-0.14334	-0.1049	0.70645	0.52407	-0.0098577	0.043574	0.039986	-0.013877	-0.15996	-0.12953	-0.065103	-0.1054	-0.13465	0.14483	-0.29213	-0.18512	-0.19916	-0.13981	
 SFG_PFC_R 	0.51076	0.53197	0.9103	1	0.21829	0.79438	0.69811	0.79447	0.5996	0.64217	0.62816	0.86457	0.23262	0.4766	0.16524	0.40025	-0.0533	-0.012695	-0.21575	-0.40149	-0.24854	-0.17945	0.16041	0.29775	0.5318	0.65561	0.11344	0.092336	0.2156	0.03273	0.045505	0.07578	-0.11705	-0.045923	-0.053487	0.11732	0.1471	0.30898	0.28649	0.34771	0.10386	0.058462	-0.074838	-0.012673	0.097073	0.12672	0.20379	0.0054067	0.36902	0.30281	0.28781	0.2294	0.059855	0.062607	0.082721	0.074098	0.46396	0.26143	0.02487	0.1733	-0.032652	0.0058526	0.57288	0.48835	-0.09413	0.019857	0.12798	0.11953	-0.20177	-0.1481	-0.10208	-0.09677	-0.18859	0.13625	-0.2419	-0.17943	-0.29472	-0.24572	
 SFG_pole_L 	0.16344	0.25845	0.35475	0.21829	1	0.50557	0.47771	0.43247	0.49605	0.24255	-0.021117	0.27346	0.0046796	-0.037608	0.32436	0.21953	-0.03308	0.31714	-0.30338	-0.22	-0.22168	-0.19646	-0.019442	-0.011084	-0.038508	0.014212	-0.091808	-0.13116	-0.0012557	0.02526	0.37488	0.27532	0.11335	0.10351	-0.36085	-0.16375	-0.1262	-0.47581	-0.25641	-0.20591	0.056462	-0.56155	-0.53041	-0.22652	-0.35954	-0.15626	0.055356	-0.078767	-0.09944	-0.13686	-0.28467	-0.24496	-0.036006	-0.011366	0.025192	0.0059383	0.19541	0.32682	0.077144	-0.082321	-0.22678	-0.13176	0.26884	0.34867	0.21449	0.20037	-0.20261	-0.1578	0.018914	-0.045152	0.086841	0.049042	0.03417	0.13496	-0.097062	-0.22809	0.11577	-0.0094255	
 SFG_pole_R 	0.34197	0.44458	0.7382	0.79438	0.50557	1	0.58858	0.66722	0.53489	0.56658	0.42859	0.7186	0.33168	0.41659	0.3127	0.43889	0.068952	0.31008	-0.23545	-0.24658	-0.11964	-0.045744	0.10292	0.23101	0.42014	0.48819	0.027383	0.0097535	0.0168	0.0062965	0.15885	0.16923	-0.069332	-0.021185	-0.032737	0.025135	0.29147	0.15002	0.17209	0.13579	0.099218	-0.26769	-0.26308	-0.22298	-0.085726	0.041543	0.23115	0.018615	0.26169	0.17399	0.033602	-0.006559	0.068584	0.080383	0.089067	0.1049	0.38953	0.42131	0.18365	0.094324	0.15384	0.21135	0.38107	0.41683	0.054865	0.133	0.1365	0.19518	-0.16779	-0.15706	0.067408	0.10303	-0.096422	0.12593	-0.10284	-0.12637	-0.29889	-0.35594	
 MFG_L 	0.67573	0.45515	0.78034	0.69811	0.47771	0.58858	1	0.84413	0.81394	0.56274	0.34284	0.66727	-0.0057586	0.18365	0.14734	0.20329	-0.36324	-0.088811	-0.37675	-0.45129	-0.52159	-0.4486	-0.031399	0.0027349	0.30132	0.35362	0.17404	-0.021027	0.39947	0.067411	0.56555	0.33286	0.099293	0.08507	-0.35031	-0.085478	-0.21319	-0.15383	-0.10355	0.15093	0.041461	-0.16579	-0.31584	0.035827	-0.064043	-0.059185	0.15295	-0.081704	0.1753	0.14018	0.0019861	0.014358	-0.034436	-0.039142	-0.042931	-0.093232	0.33009	0.095328	-0.18009	0.051509	-0.33204	-0.32173	0.60506	0.47016	-0.021741	0.059131	-0.20163	-0.22232	-0.05589	-0.084029	-0.098704	-0.12249	-0.31084	-0.02732	-0.40283	-0.42278	-0.044151	-0.1178	
 MFG_R 	0.5158	0.47044	0.7692	0.79447	0.43247	0.66722	0.84413	1	0.71136	0.71382	0.47448	0.78846	-0.038685	0.30945	0.17087	0.41051	-0.2549	-0.14301	-0.49271	-0.55674	-0.53576	-0.49051	-0.017408	0.13916	0.35648	0.59541	0.10242	0.075631	0.28309	0.18892	0.38852	0.49637	-0.033292	0.12769	-0.31105	-0.060209	-0.11621	-0.023876	0.021402	0.11187	0.025974	-0.19892	-0.24884	-0.098659	0.002012	-0.043564	0.13935	-0.1572	0.28028	0.21468	0.15226	0.062489	-0.065574	-0.086818	-0.016986	-0.12346	0.38616	0.15255	-0.11008	0.143	-0.30693	-0.20757	0.56751	0.50886	-0.069048	0.029	-0.10535	-0.053921	-0.1829	-0.11939	-0.20468	-0.12158	-0.38622	-0.016266	-0.42718	-0.41875	-0.12702	-0.17205	
 MFG_DPFC_L 	0.70123	0.61583	0.74194	0.5996	0.49605	0.53489	0.81394	0.71136	1	0.61488	0.25397	0.52159	0.0018979	0.20092	0.30863	0.10719	-0.064235	-0.0063513	-0.28768	-0.35598	-0.35899	-0.24923	0.0073759	0.050491	0.38242	0.39022	0.30255	0.19015	0.44288	0.15869	0.44057	0.24307	0.17289	0.226	-0.25385	-0.045507	-0.071602	-0.09498	-0.24498	-0.0096061	-0.022619	-0.27213	-0.35687	-0.027935	-0.12253	-0.078655	0.28677	0.10816	0.11088	0.17039	-0.040871	-0.040658	0.094731	0.087804	0.089288	-0.019268	0.39361	0.32017	-0.1428	-0.088334	-0.22677	-0.20656	0.65245	0.52833	-0.12186	-0.064453	-0.0045338	-0.12424	-0.023978	0.00031703	-0.090731	-0.090104	-0.1579	0.052869	-0.25056	-0.40365	0.016048	-0.078167	
 MFG_DPFC_R 	0.26653	0.3497	0.54574	0.64217	0.24255	0.56658	0.56274	0.71382	0.61488	1	0.44984	0.65013	0.20566	0.58567	0.22633	0.41692	-0.002737	0.018584	-0.29385	-0.14126	-0.1738	-0.14165	-0.1819	0.088331	0.20638	0.41489	-0.006161	0.152	0.32351	0.35655	0.22658	0.50193	-0.073911	0.1608	-0.26894	-0.06869	0.12374	0.19579	0.064622	-0.042377	0.046518	-0.17689	-0.094095	-0.26754	-0.01501	-0.22239	0.24261	-0.05366	0.21106	0.13345	0.1055	-0.030928	-0.12176	-0.12123	-0.10313	-0.1432	0.47501	0.34464	-0.14479	0.098194	-0.095329	0.049958	0.24698	0.3576	-0.1497	-0.073605	0.041686	0.32527	-0.31465	-0.20516	-0.17577	-0.013916	-0.35262	-0.056594	-0.16822	-0.3282	-0.16844	-0.19862	
