Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby742a_3_1_ax_MNI.img	Telencephalon_L	581215	4.9302	220.5822	133.5487	44.4961	
kirby742a_3_1_ax_MNI.img	Telencephalon_R	587574	6.4043	239.3373	134.8234	43.9404	
kirby742a_3_1_ax_MNI.img	Diencephalon_L	10829	23.7811	221.5180	159.9881	23.5300	
kirby742a_3_1_ax_MNI.img	Diencephalon_R	10558	39.5715	215.9045	158.7614	23.1855	
kirby742a_3_1_ax_MNI.img	Mesencephalon	12632	75.0306	225.3980	184.0585	19.5608	
kirby742a_3_1_ax_MNI.img	Metencephalon	214497	12.8106	215.0490	129.4254	38.9740	
kirby742a_3_1_ax_MNI.img	Myelencephalon	5903	45.7777	222.8100	174.3406	25.1720	
kirby742a_3_1_ax_MNI.img	CSF	151700	1.1504	167.5294	31.3340	20.1768	



Type1-L2 Statistics

kirby742a_3_1_ax_MNI.img	CerebralCortex_L	292685	4.9302	189.9793	95.5070	24.5453	
kirby742a_3_1_ax_MNI.img	CerebralCortex_R	293133	6.4043	182.8595	96.8640	24.1160	
kirby742a_3_1_ax_MNI.img	CerebralNucli_L	14120	55.3236	215.0836	143.2062	23.5421	
kirby742a_3_1_ax_MNI.img	CerebralNucli_R	15558	59.3893	211.5479	143.4995	23.4110	
kirby742a_3_1_ax_MNI.img	Thalamus_L	7215	81.3465	212.5542	161.1231	17.9115	
kirby742a_3_1_ax_MNI.img	Thalamus_R	6980	55.7745	215.9045	159.0413	19.7674	
kirby742a_3_1_ax_MNI.img	BasalForebrain_L	3614	23.7811	221.5180	157.7220	31.7930	
kirby742a_3_1_ax_MNI.img	BasalForebrain_R	3578	39.5715	213.7032	158.2153	28.6972	
kirby742a_3_1_ax_MNI.img	Mesencephalon_L	6184	89.3777	225.3980	185.1091	17.9635	
kirby742a_3_1_ax_MNI.img	Mesencephalon_R	6448	75.0306	222.0908	183.0509	20.9293	
kirby742a_3_1_ax_MNI.img	Metencephalon_R	108071	12.8106	215.0490	129.2606	38.8342	
kirby742a_3_1_ax_MNI.img	Metencephalon_L	106426	15.4846	215.0215	129.5927	39.1146	
kirby742a_3_1_ax_MNI.img	Myelencephalon_L	2689	45.7777	222.8100	172.2976	28.8479	
kirby742a_3_1_ax_MNI.img	Myelencephalon_R	3214	65.1105	216.1959	176.0498	21.4728	
kirby742a_3_1_ax_MNI.img	WhiteMatter_L	274410	30.4968	220.5822	173.6270	19.1784	
kirby742a_3_1_ax_MNI.img	WhiteMatter_R	278883	29.5899	239.3373	174.2384	18.8078	
kirby742a_3_1_ax_MNI.img	Ventricle	52738	1.7994	167.5294	33.5384	26.0274	
kirby742a_3_1_ax_MNI.img	Sulcus_L	54435	1.5474	109.3865	28.9407	15.6190	
kirby742a_3_1_ax_MNI.img	Sulcus_R	44527	1.1504	98.8049	31.6489	16.5387	



Type1-L3 Statistics

kirby742a_3_1_ax_MNI.img	Frontal_L	90850	6.9330	178.2716	91.0792	25.3838	
kirby742a_3_1_ax_MNI.img	Frontal_R	88589	6.4043	179.3587	93.5688	24.8685	
kirby742a_3_1_ax_MNI.img	Parietal_L	46773	8.1398	162.7603	92.2934	23.2479	
kirby742a_3_1_ax_MNI.img	Parietal_R	49091	10.8657	161.2414	92.6353	23.3625	
kirby742a_3_1_ax_MNI.img	Temporal_L	71932	5.7073	170.7063	98.0210	22.5657	
kirby742a_3_1_ax_MNI.img	Temporal_R	71282	14.6118	182.8595	99.3664	22.4064	
kirby742a_3_1_ax_MNI.img	Limbic_L	31488	12.0592	189.9793	107.0330	23.5500	
kirby742a_3_1_ax_MNI.img	Limbic_R	34207	13.7310	182.5776	105.4163	23.6570	
kirby742a_3_1_ax_MNI.img	Occipital_L	45962	4.9302	175.9335	95.7210	24.9706	
kirby742a_3_1_ax_MNI.img	Occipital_R	44717	9.1170	177.5202	97.5802	24.2450	
kirby742a_3_1_ax_MNI.img	Insula_L	7141	19.3725	162.3028	101.0347	23.4225	
kirby742a_3_1_ax_MNI.img	Insula_R	7449	14.4178	177.4935	105.0981	24.8131	
kirby742a_3_1_ax_MNI.img	BasalGang_L	12659	55.3236	215.0836	145.5122	23.5556	
kirby742a_3_1_ax_MNI.img	BasalGang_R	13356	59.3893	211.5479	146.3395	23.6192	
kirby742a_3_1_ax_MNI.img	Thalamus_L	7215	81.3465	212.5542	161.1231	17.9115	
