Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby346a_3_1_ax_MNI.img	Telencephalon_L	679415	14.9102	188.8424	112.4548	35.5601	
kirby346a_3_1_ax_MNI.img	Telencephalon_R	691813	13.8272	200.3599	112.5535	35.1992	
kirby346a_3_1_ax_MNI.img	Diencephalon_L	10658	71.2716	187.0373	135.6924	15.6772	
kirby346a_3_1_ax_MNI.img	Diencephalon_R	10975	33.0536	185.2757	133.8596	16.3699	
kirby346a_3_1_ax_MNI.img	Mesencephalon	11985	75.4726	188.8692	156.7030	13.2622	
kirby346a_3_1_ax_MNI.img	Metencephalon	164355	20.3589	191.0291	111.8496	31.1893	
kirby346a_3_1_ax_MNI.img	Myelencephalon	5386	61.4720	194.6566	149.3146	20.0272	
kirby346a_3_1_ax_MNI.img	CSF	81449	2.2043	146.5995	42.6640	19.0363	



Type1-L2 Statistics

kirby346a_3_1_ax_MNI.img	CerebralCortex_L	362078	14.9102	179.7481	83.2573	17.6278	
kirby346a_3_1_ax_MNI.img	CerebralCortex_R	370424	13.8272	183.8297	83.7636	17.1313	
kirby346a_3_1_ax_MNI.img	CerebralNucli_L	15549	56.7609	187.2346	120.7586	16.7420	
kirby346a_3_1_ax_MNI.img	CerebralNucli_R	16634	58.8823	200.3599	120.3043	17.0983	
kirby346a_3_1_ax_MNI.img	Thalamus_L	7235	71.2716	168.1805	135.7454	12.6827	
kirby346a_3_1_ax_MNI.img	Thalamus_R	7492	64.5563	179.8667	134.2683	13.9660	
kirby346a_3_1_ax_MNI.img	BasalForebrain_L	3423	75.5025	187.0373	135.5805	20.6217	
kirby346a_3_1_ax_MNI.img	BasalForebrain_R	3483	33.0536	185.2757	132.9804	20.5840	
kirby346a_3_1_ax_MNI.img	Mesencephalon_L	6169	88.6019	185.8622	157.0295	12.4699	
kirby346a_3_1_ax_MNI.img	Mesencephalon_R	5816	75.4726	188.8692	156.3567	14.0456	
kirby346a_3_1_ax_MNI.img	Metencephalon_R	83573	20.3589	191.0291	111.8373	31.3539	
kirby346a_3_1_ax_MNI.img	Metencephalon_L	80782	24.5786	182.1862	111.8625	31.0180	
kirby346a_3_1_ax_MNI.img	Myelencephalon_L	2594	61.4720	184.1455	146.4069	21.2704	
kirby346a_3_1_ax_MNI.img	Myelencephalon_R	2792	66.2998	194.6566	152.0162	18.3912	
kirby346a_3_1_ax_MNI.img	WhiteMatter_L	301788	41.7409	188.8424	147.0575	15.3578	
kirby346a_3_1_ax_MNI.img	WhiteMatter_R	304755	35.7788	187.7517	147.1240	15.2979	
kirby346a_3_1_ax_MNI.img	Ventricle	15697	4.4025	146.5995	57.8768	28.4837	
kirby346a_3_1_ax_MNI.img	Sulcus_L	35213	2.2043	99.3947	39.4257	13.4544	
kirby346a_3_1_ax_MNI.img	Sulcus_R	30539	3.0784	90.0723	38.5786	13.8927	



Type1-L3 Statistics

kirby346a_3_1_ax_MNI.img	Frontal_L	122914	14.9102	160.2080	81.2333	17.3205	
kirby346a_3_1_ax_MNI.img	Frontal_R	124727	19.2050	144.2319	81.7434	16.6877	
kirby346a_3_1_ax_MNI.img	Parietal_L	62317	16.9139	147.6122	81.8394	17.9230	
kirby346a_3_1_ax_MNI.img	Parietal_R	65697	17.7773	156.3226	81.6924	17.7075	
kirby346a_3_1_ax_MNI.img	Temporal_L	77780	17.4985	153.3423	81.5661	16.4518	
kirby346a_3_1_ax_MNI.img	Temporal_R	76163	19.4203	145.2099	83.9346	15.6761	
kirby346a_3_1_ax_MNI.img	Limbic_L	39943	26.5470	187.2346	92.8160	16.3674	
kirby346a_3_1_ax_MNI.img	Limbic_R	44829	23.4998	200.3599	90.4991	17.1735	
kirby346a_3_1_ax_MNI.img	Occipital_L	51026	16.6004	141.0218	84.6167	18.6033	
kirby346a_3_1_ax_MNI.img	Occipital_R	51015	13.8272	143.7856	84.5895	18.0861	
kirby346a_3_1_ax_MNI.img	Insula_L	9966	26.0457	179.7481	88.9798	15.1724	
kirby346a_3_1_ax_MNI.img	Insula_R	10267	23.2498	183.8297	91.9149	15.9916	
kirby346a_3_1_ax_MNI.img	BasalGang_L	13681	56.7609	173.9921	122.9899	16.2649	
kirby346a_3_1_ax_MNI.img	BasalGang_R	14360	58.8823	170.5563	122.4165	17.1090	
kirby346a_3_1_ax_MNI.img	Thalamus_L	7235	71.2716	168.1805	135.7454	12.6827	
