	 SFG_L 	 SFG_R 	 SFG_PFC_L 	 SFG_PFC_R 	 SFG_pole_L 	 SFG_pole_R 	 MFG_L 	 MFG_R 	 MFG_DPFC_L 	 MFG_DPFC_R 	 IFG_opercularis_L 	 IFG_opercularis_R 	 IFG_orbitalis_L 	 IFG_orbitalis_R 	 IFG_triangularis_L 	 IFG_triangularis_R 	 LFOG_L 	 LFOG_R 	 MFOG_L 	 MFOG_R 	 RG_L 	 RG_R 	 PoCG_L 	 PoCG_R 	 PrCG_L 	 PrCG_R 	 SPG_L 	 SPG_R 	 SMG_L 	 SMG_R 	 AG_L 	 AG_R 	 PrCu_L 	 PrCu_R 	 STG_L 	 STG_R 	 STG_L_pole 	 STG_R_pole 	 MTG_L 	 MTG_R 	 MTG_L_pole 	 MTG_R_pole 	 ITG_L 	 ITG_R 	 FuG_L 	 FuG_R 	 SOG_L 	 SOG_R 	 MOG_L 	 MOG_R 	 IOG_L 	 IOG_R 	 Cu_L 	 Cu_R 	 LG_L 	 LG_R 	 rostral_ACC_L 	 rostral_ACC_R 	 subcallosal_ACC_L 	 subcallosal_ACC_R 	 subgenual_ACC_L 	 subgenual_ACC_R 	 dorsal_ACC_L 	 dorsal_ACC_R 	 PCC_L 	 PCC_R 	 Insula_L 	 Insula_R 	 CerebellumGM_L 	 CerebellumGM_R 	 Caud_L 	 Caud_R 	 Put_L 	 Put_R 	 GP_L 	 GP_R 	 Thalamus_L 	 Thalamus_R 	
 SFG_L 	Inf	0.83005	0.48254	0.26312	0.40876	0.13049	1.0241	0.34639	0.53716	0.18269	0.60915	0.25792	0.46995	0.35824	0.57389	0.30906	0.24832	0.00086469	0.24481	0.19348	0.12871	0.090266	0.30131	0.26334	0.42209	0.40371	0.67554	0.44821	0.34937	0.17591	0.45021	0.15689	0.39626	0.22068	0.35262	0.25697	0.31601	0.11422	0.58683	0.29393	0.26599	0.35425	0.48687	0.4737	0.46028	0.37318	0.38504	0.3983	0.60115	0.47839	0.32643	0.34779	0.30129	0.28426	0.3026	0.30872	0.28676	0.10717	-0.26278	-0.017227	0.12544	0.046651	0.41753	0.46019	0.18292	0.11233	0.18783	0.011482	0.4997	0.72241	0.42687	0.65201	0.2742	0.1893	0.53441	0.075745	0.0042735	-0.12124	
 SFG_R 	0.83005	Inf	0.21949	0.35197	0.1014	0.20851	0.45625	0.42104	0.32052	0.44088	0.48503	0.65863	0.40818	0.68407	0.40916	0.47074	0.15909	0.2778	0.16968	0.28602	0.063423	0.089256	0.23928	0.21948	0.35718	0.5579	0.55469	0.50329	0.49887	0.63824	0.1692	0.25027	0.28256	0.40854	0.55148	0.36884	0.32339	0.36592	0.35304	0.40034	0.25319	0.40485	0.47186	0.5361	0.29412	0.28418	0.25756	0.3423	0.39539	0.45024	0.14477	0.2576	0.12698	0.24507	0.18658	0.26049	0.10633	0.12473	-0.13224	0.038369	0.094877	0.05356	0.59576	0.81006	-0.01234	0.1133	0.26107	0.34331	0.57573	0.46657	0.48454	0.4876	0.31857	0.40316	0.52466	0.22272	0.044812	-0.0028884	
 SFG_PFC_L 	0.48254	0.21949	Inf	1.0418	1.1791	0.77769	0.58855	0.48212	0.2298	0.1574	0.0742	0.30256	0.4028	0.43	0.24512	0.33541	0.37101	0.34565	-0.02585	0.063844	0.58778	0.53542	-0.00080133	-0.0091702	0.029628	-0.034621	0.044788	0.17406	-0.19038	-0.1836	0.88741	0.48189	0.4143	0.29863	-0.083908	-0.15217	-0.03388	-0.072665	0.66943	0.5381	0.38074	0.46072	0.29615	0.24736	0.16784	0.17631	0.2703	0.2351	0.43917	0.22484	0.29312	0.22307	0.28186	0.25256	0.2417	0.18936	0.74293	0.49843	0.072445	-0.05329	0.20278	0.23553	0.046795	0.19121	0.55836	0.35389	-0.30358	-0.18576	0.3098	0.43869	0.23091	0.45989	-0.016028	0.053296	0.052397	-0.14989	-0.029007	0.18169	
 SFG_PFC_R 	0.26312	0.35197	1.0418	Inf	0.59677	1.3205	0.29476	0.98959	0.24526	0.63873	-0.17139	0.52252	0.16231	0.48501	-0.087869	0.46325	0.25324	0.8495	-0.051169	0.22467	0.6104	0.65309	-0.1071	-0.11143	-0.10096	-0.12807	-0.12026	0.085987	-0.17946	-0.065556	0.70382	0.93924	0.48693	0.61682	-0.22029	-0.34896	-0.16464	-0.097665	0.35241	0.63548	0.37246	0.43757	0.239	0.22258	-0.088642	-0.030463	0.01323	0.036968	0.27772	0.015426	0.027942	-0.045947	0.11756	0.13193	0.14507	0.085879	0.67671	0.80947	0.1957	0.1012	0.13872	0.23761	0.075435	0.30823	0.53814	0.5582	-0.37423	-0.07809	0.34714	0.22856	0.27983	0.34488	-0.12208	0.089634	0.00079111	-0.12891	0.0040092	0.37465	
 SFG_pole_L 	0.40876	0.1014	1.1791	0.59677	Inf	0.67814	0.48633	0.26208	0.093894	-0.072024	0.079356	0.13102	0.34349	0.27378	0.23806	0.16768	0.36281	0.15468	0.13171	0.1485	0.52812	0.46154	0.16921	0.1863	0.2236	0.11808	0.18777	0.23797	-0.16727	-0.2035	0.8324	0.33202	0.37419	0.21	0.039536	0.052925	0.18515	0.039623	0.75911	0.53565	0.34402	0.46697	0.36362	0.25067	0.30816	0.3097	0.39432	0.35379	0.48707	0.28367	0.38856	0.3158	0.32244	0.27487	0.31062	0.28535	0.52778	0.29395	-0.052158	-0.14335	0.28106	0.36122	-0.022697	0.064628	0.58589	0.32396	-0.25701	-0.25702	0.23455	0.46569	0.092953	0.30731	0.035594	-0.070839	0.010012	-0.10621	-0.11073	-0.036162	
 SFG_pole_R 	0.13049	0.20851	0.77769	1.3205	0.67814	Inf	0.1086	0.74627	0.1462	0.54025	-0.32715	0.36153	0.0028272	0.32414	-0.24823	0.24259	0.26508	0.73039	0.15903	0.44971	0.73186	0.75693	0.047714	0.064174	0.0090999	-0.046421	-0.042751	0.21167	-0.18623	-0.061106	0.58867	0.8175	0.51206	0.65732	-0.2104	-0.25024	-0.079649	-0.04898	0.29271	0.64657	0.44456	0.49968	0.3527	0.33116	-0.0085796	0.043771	0.088722	0.10677	0.29452	0.067028	0.060256	0.029362	0.15992	0.1811	0.22757	0.18115	0.57342	0.67257	0.11481	0.079747	0.21329	0.46278	0.048888	0.18183	0.57355	0.62321	-0.45948	-0.21221	0.33706	0.2526	0.16538	0.27293	-0.11835	0.02248	-0.08716	-0.087197	-0.11431	0.24758	
 MFG_L 	1.0241	0.45625	0.58855	0.29476	0.48633	0.1086	Inf	0.54142	0.83979	0.28032	0.57194	0.33571	0.44874	0.15528	0.642	0.37371	0.21098	0.0071499	0.095525	0.094333	0.11683	0.0043459	0.032494	0.029914	0.11428	0.092897	0.51335	0.23993	0.19838	-0.016961	0.90668	0.3427	0.48832	0.27088	0.12801	0.04113	0.20596	0.069752	0.64485	0.31473	0.22465	0.40234	0.42702	0.38554	0.33481	0.31386	0.33029	0.27908	0.58072	0.35247	0.21062	0.18197	0.36552	0.29191	0.296	0.25657	0.29796	0.074122	-0.23333	-0.11671	0.082335	-0.031183	0.22803	0.21664	0.32071	0.20531	-0.041154	-0.22876	0.41629	0.57935	0.20949	0.42256	0.10109	0.04344	0.42078	0.0046463	-0.17437	-0.23609	
 MFG_R 	0.34639	0.42104	0.48212	0.98959	0.26208	0.74627	0.54142	Inf	0.56081	1.1102	-0.03276	0.62959	0.072866	0.20228	-0.0042577	0.52807	0.060817	0.64906	-0.015422	0.32686	0.3348	0.34327	-0.047182	-0.03324	-0.072133	-0.064352	0.093611	0.17463	0.0064691	0.053378	0.80703	1.4969	0.69242	0.90064	-0.25466	-0.39167	-0.055551	-0.045463	0.29285	0.55576	0.30827	0.38966	0.36076	0.39391	-0.037911	0.032742	0.013155	0.013603	0.41437	0.039459	-0.10537	-0.14627	0.22294	0.21296	0.28558	0.18409	0.32384	0.47197	-0.010165	0.095397	0.096787	0.12477	0.065583	0.21005	0.53613	0.71319	-0.3771	-0.23511	0.49344	0.3217	0.16781	0.20849	-0.20181	-0.043724	0.070346	-0.15212	-0.11291	0.17874	
 MFG_DPFC_L 	0.53716	0.32052	0.2298	0.24526	0.093894	0.1462	0.83979	0.56081	Inf	0.75468	0.2905	0.2917	0.18349	-0.023151	0.33792	0.33691	0.24515	0.14481	0.20029	0.24526	0.097384	-0.022141	-0.082644	-0.097394	-0.058273	-0.088303	0.2768	0.043248	0.28782	0.12855	0.46498	0.33094	0.22759	0.16279	0.037437	-0.074228	-0.0029782	-0.0056347	0.065666	0.034305	-0.028097	0.16539	0.2408	0.30115	-0.027726	-0.087555	0.090306	-0.065805	0.18369	0.04296	0.0091135	0.010755	0.089775	-0.0096633	0.080061	-0.023973	0.34091	0.21007	-0.17036	0.11877	-0.15899	-0.18288	0.28498	0.28434	-0.00034017	0.02133	0.047548	-0.082652	0.26534	0.21006	0.24796	0.32807	0.085267	0.078187	0.39384	0.13578	-0.10175	-0.15003	
 MFG_DPFC_R 	0.18269	0.44088	0.1574	0.63873	-0.072024	0.54025	0.28032	1.1102	0.75468	Inf	-0.06183	0.58705	-0.023265	0.1099	-0.025897	0.48284	-0.030755	0.62882	0.052127	0.34939	0.14614	0.14711	-0.087266	-0.090523	-0.13112	-0.086398	0.033735	0.12827	0.13064	0.24408	0.35121	0.82507	0.24596	0.49058	-0.19644	-0.34498	-0.24989	-0.13176	-0.067411	0.17766	0.054602	0.16697	0.23469	0.30227	-0.23505	-0.19992	-0.086135	-0.18906	0.073463	-0.10277	-0.18155	-0.15987	-0.031649	-0.040165	0.042622	-0.050606	0.14484	0.31936	-0.0031359	0.17245	-0.16843	-0.050011	0.16818	0.27337	0.046573	0.25731	-0.24856	-0.058989	0.33392	0.080041	0.21357	0.22461	-0.10513	0.076481	0.13223	0.013279	-0.072894	0.14245	
